company_name,corporate_bond_ticker,bloomberg_id,fin_sector_override
AMERICAN AIRLINE,AAL,,Aviation
AIR CANADA,ACACN,,Aviation
AEGEAN AIRLINES,AEGNGA,,Aviation
JEJUAIR CO LTD,AEKPET,,Aviation
GPO AEROMEXICO,AEROMX,,Aviation
AIR FRANCE-KLM,AFFP,,Aviation
AEROFLOT,AFLTRU,,Aviation
AIR ARABIA PJSC,AIRARA,,Aviation
AIR ASTANA JSC,AIRAST,,Aviation
AIR BERLIN PLC,AIRBR,,Aviation
AIR CHINA LTD-A,AIRCHI,,Aviation
AIR NEW ZEALAND,AIRNZ,,Aviation
ALLEGIANT TRAVEL,ALGT,,Aviation
ALASKA AIR GROUP,ALK,,Aviation
ALLIANCE AVIATIO,ALLAVI,,Aviation
ANA HOLDINGS INC,ANAIR,,Aviation
ASIANA AIRLINES,ASIAIR,,Aviation
CONTROLADORA V-A,AVIAMX,,Aviation
CATHAY PAC AIR,CATHAY,,Aviation
CHINA EASTERN AI,CEAIRL,,Aviation
CEBU AIR INC,CEBPM,,Aviation
CHINA AIRLINES,CHIAIR,,Aviation
CHINA EAST AIR-H,CHIEAS,,Aviation
CHINA SOUTHERN A,CHISOU,,Aviation
CHORUS AVIATION,CHRBCN,,Aviation
COMAIR LTD,COMSJ,,Aviation
CROATIA AIRLINES,CRALRA,,Aviation
DELTA AIR LI,DAL,,Aviation
DART GROUP PLC,DTGLN,,Aviation
EXCHANGE INCOME,EIFCN,,Aviation
EL AL ISRAEL AIR,ELALIS,,Aviation
EMIRATES,EMIRAT,,Aviation
EVA AIRWAYS,EVAAIR,,Aviation
EASYJET PLC,EZJLN,,Aviation
FAR EASTERN AIR,FARAIR,,Aviation
FLYBE GROUP,FLYBLN,,Aviation
FINNAIR OYJ,FOY,,Aviation
GARUDA INDONESIA,GARUDA,,Aviation
GULFSTREAM INTER,GIA,,Aviation
GREAT LAKES AVIA,GLUX,,Aviation
GOL-PREF,GOLLBZ,,Aviation
HAWAIIAN HOLDING,HA,,Aviation
HAINAN AIRLINE-B,HAIAIR,,Aviation
HEATHROW AIRPORT,HTHROW,,Aviation
INTL CONS AIRLIN,IAGLN,,Aviation
INDONESIA TRANSP,IATAIJ,,Aviation
JETBLUE AIRWAYS,JBLU,,Aviation
JET AIRWAYS IND,JETIN,,Aviation
JAPAN AIRLINES C,JPNAIR,,Aviation
HANJIN KAL CORP,KANKAL,,Aviation
KENYA AIRWAYS,KENAIR,,Aviation
T WAY HOLDING IN,KEOPYU,,Aviation
KNAFAIM HOLDINGS,KNFMIT,,Aviation
KOREAN AIR LINES,KOREAN,,Aviation
DEUTSCHE LUFT-RG,LHAGR,,Aviation
