isin,date
US53601P3047,2019Q4
US0325111070,2019Q4
US14067D4097,2019Q4
US1445771033,2019Q4
US2227951066,2019Q4
US26078J1007,2019Q4
US4651414066,2019Q4
US48019R3066,2019Q4
US6512901082,2019Q4
US92240G1013,2019Q4
US96812T1025,2019Q4
AU000000EPW7,2019Q4
BE0003763779,2019Q4
BRMAGGACNOR4,2019Q4
CA6744821043,2019Q4
CA89353D1078,2019Q4
CA89353D4049,2019Q4
CA89353D5038,2019Q4
CA89353D8677,2019Q4
CA89353D8834,2019Q4
CNE1000003D8,2019Q4
DE000A2LQ2L3,2019Q4
ES0168561019,2019Q4
GB00B1VYCH82,2019Q4
GB00B24CT194,2019Q4
GB00BYZWX769,2019Q4
GRS074083007,2019Q4
HK0000051067,2019Q4
IL0005830133,2019Q4
INE290B01025,2019Q4
INE844O01022,2019Q4
IT0003126783,2019Q4
JP3303400000,2019Q4
JP3366800005,2019Q4
TH0212010Z01,2019Q4
TH0637010008,2019Q4
TH0834010009,2019Q4
