Peer.Group,Investor.Name,Portfolio.Name,ISIN,MarketValue,Currency
bank,A,x,IT0001049623,25882.48458,UYU
bank,B,y,XS0340769529,52174.5046,ZAR
bank,C,z,US36200XH365,47186.60155,JPY
bank,D,x,LU1315126943,1172.224169,COP
bank,A,y,SE0010414573,52816.911,BHD
bank,B,z,XS1586214956,94150.91721,DOP
bank,C,x,USN82008AJ72,88033.11241,CAD
bank,D,y,XS1880986499,46745.46081,PKR
bank,A,z,US3140J5SF70,71758.40375,BGN
bank,B,x,US3128PMDA50,43629.60286,BDT
bank,C,y,FR0007430806,38894.76375,MXN
bank,D,z,US31372BVZ02,79442.87631,BRL
bank,A,x,US566897VX93,44055.70112,BRL
bank,B,y,INE348A01023,79968.5474,GHS
bank,C,z,US31414DZT61,14582.06072,AUD
bank,D,x,US79588VBL80,81677.22236,EGP
bank,A,y,SE0010049874,2045.135694,BRL
bank,B,z,LU0284393930,88314.18374,NZD
bank,C,x,US3132XVBZ56,99795.81655,IDR
bank,D,y,US054071KU86,19279.41488,IDR
bank,A,z,JP3765150002,32666.82254,SAR
bank,B,x,US407219JA37,32141.18675,TRY
bank,C,y,US421020ZA94,69761.21843,KES
bank,D,z,JP3261200004,24902.33377,TRY
bank,A,x,US31372VXG66,59869.64942,MAD
bank,B,y,XS1852481602,24656.05474,HUF
bank,C,z,US31292HJE53,77298.73408,HUF
bank,D,x,IE00BJTCXH70,10946.05603,JPY
bank,A,y,CA642904AA48,72524.61549,PEN
bank,B,z,LU0095024591,80130.59246,TRY
bank,C,x,US896005AB11,78932.26338,COP
bank,D,y,US25278X1090,59809.10298,CAD
bank,A,z,US02R04UG184,34420.84047,ILS
bank,B,x,US53945CCJ71,17393.2553,SGD
bank,C,y,US312946BV73,1278.540283,LKR
bank,D,z,XS2117755566,67392.96859,EGP
bank,A,x,US36201DBS09,88916.92383,DKK
bank,B,y,US930868BK95,77448.89959,CHF
bank,C,z,XS2170092600,7320.438659,PEN
bank,D,x,XS0545825951,39474.02706,AED
bank,A,y,US478718L566,15591.50522,PHP
bank,B,z,GB00B1XFJ672,67861.04819,THB
bank,C,x,AT0000A1FPR9,11869.29619,KES
bank,D,y,US4952893N82,67224.94881,INR
bank,A,z,US3140EWAM70,74449.33797,MYR
bank,B,x,FR0011695030,74358.22082,COP
bank,C,y,US381427AA15,18637.89881,PKR
bank,D,z,US97705MFR16,42032.72626,QAR
bank,A,x,CA7500802029,41739.99874,CAD
bank,B,y,US315599BE93,66128.96677,TWD
bank,C,z,JP324640A321,4808.136585,CNY
bank,D,x,INE443B01012,9810.25069,ARS
bank,A,y,KR7017040007,60944.71589,AUD
bank,B,z,US31335A4B15,49743.00638,NZD
bank,C,x,XS1958533553,9454.358812,CLP
bank,D,y,GB00B7VR0864,44721.84854,COP
bank,A,z,JP378342AJ38,1835.881255,ZAR
bank,B,x,US31293RZG90,51214.82934,UYU
bank,C,y,CH0525158462,18554.87199,DOP
bank,D,z,US3138WKK465,70092.46425,INR
bank,A,x,US12648FAJ84,35113.3645,USD
bank,B,y,US9220426509,2951.302973,BGN
bank,C,z,CA21250C1068,63539.92745,RUB
bank,D,x,XS1502943555,28394.44462,CNY
bank,A,y,US14314AAE91,65961.06724,ZAR
bank,B,z,CA71534M1077,24249.09336,GHS
bank,C,x,US53630X1046,6892.763822,LKR
bank,D,y,US3133EKBV71,50795.6333,IDR
bank,A,z,US786134VH66,30691.87147,KES
bank,B,x,US93974CPM63,48929.53536,HRK
bank,C,y,FR0010690974,35043.34706,BWP
bank,D,z,US1086211034,97876.49857,MAD
bank,A,x,JP2141002H71,33493.51603,SAR
bank,B,y,US88429JAA43,38396.02572,SGD
bank,C,z,US2201125F94,94860.98008,RUB
