industry_classification,source,sector,sector_ipr,subsector_ipr,sector_dnb,sector_boe,subsector_boe
3/1 ARM,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
5/1 ARM,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
7/1 ARM,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Advanced Materials/Prd,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Other,NA
Advertising & Marketing,BICS,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Advertising Agencies,BICS,Other,Consumer Services,Media and Publishing Services,M73,Other,NA
Advertising Sales,BICS,Other,Consumer Services,Media and Publishing Services,M73,Other,NA
Advertising Services,BICS,Other,Consumer Services,Media and Publishing Services,M73,Other,NA
Aerospace,ICB,Other,NA,NA,Other,Other,NA
Aerospace & Defense,BICS,Other,NA,NA,Other,Other,NA
Aerospace/Defense,BICS,Other,NA,NA,Other,Other,NA
Aerospace/Defense-Equip,BICS,Other,NA,NA,Other,Other,NA
Agency CMBS,BICS,Other,NA,NA,Other,Other,NA
Agency Collat IO,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Other,BICS,Other,NA,NA,Other,Other,NA
Agency Collat PAC,BICS,Other,NA,NA,Other,Other,NA
Agency Collat PAC IO,BICS,Other,NA,NA,Other,Other,NA
Agency Collat PAC PO,BICS,Other,NA,NA,Other,Other,NA
Agency Collat PAC Support,BICS,Other,NA,NA,Other,Other,NA
Agency Collat PAC Z,BICS,Other,NA,NA,Other,Other,NA
Agency Collat PO,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Residual,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Sequential,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Structured,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Support,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Support IO,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Support PO,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Support Z,BICS,Other,NA,NA,Other,Other,NA
Agency Collat TAC,BICS,Other,NA,NA,Other,Other,NA
Agency Collat Z,BICS,Other,NA,NA,K66,Other,NA
Agency Credit,BCLASS,Other,NA,NA,Other,Other,NA
Agency MBS Other,BCLASS,Other,NA,NA,Other,Other,NA
Aggressive Growth,BICS,Other,NA,NA,Other,Other,NA
Agricultural Biotech,BICS,Other,Technology,Electronic Components and Manufacturing,C20,Agriculture,NA
Agricultural Chemicals,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Agriculture,NA
Agricultural Operations,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Agriculture,NA
