Co. Corp TKR,Total,Utilities,Supranationals,Government Development Banks,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Metals & Mining,Exploration & Production,Pipeline,Integrated Oils,Airlines,Coal Operations,Oil & Gas Services & Equipment,Renewable Energy,Refining & Marketing,Winding Up Agencies,Government Agencies,Government Regional,Sovereigns,Government Local
Total,8.61408E+12,1.35392E+12,1.48278E+12,9.40591E+11,6.74802E+11,4.50036E+11,5.66204E+11,3.87219E+11,4.45805E+11,3.67477E+11,3.35482E+11,6.78723E+11,1.13562E+11,1.5071E+11,1.17108E+11,44395395729,1.14779E+11,1.70936E+11,90228640186,14263290339,1.09932E+11,5131070550
TOTAL,50002450290,,,,,,,,,,,50002450290,,,,,,,,,,
ZZYTBC,159485000,,,,159485000,,,,,,,,,,,,,,,,,
ZZHEGE,63729400,63729400,,,,,,,,,,,,,,,,,,,,
ZZCOAL,318324000,,,,,,,,,,,,,318324000,,,,,,,,
ZZCLEL,31897000,,,,,,,,,,,,,31897000,,,,,,,,
ZTSTEL,318970000,,,,,,,,318970000,,,,,,,,,,,,,
ZSUTIL,159484203,159484203,,,,,,,,,,,,,,,,,,,,
ZSPUTU,229989090,,,,,,,,,,229989090,,,,,,,,,,,
ZSPORT,111413400,,,,111413400,,,,,,,,,,,,,,,,,
ZPCCGP,191188200,,,,,,,,191188200,,,,,,,,,,,,,
ZOREN,167231118,,,,,167231118,,,,,,,,,,,,,,,,
ZNPSTZ,350382500,,,,,,,350382500,,,,,,,,,,,,,,
ZLSOLA,79742500,,,,,,,,,,,,,,,79742500,,,,,,
ZKOGDA,41604628,,,,41604628,,,,,,,,,,,,,,,,,
ZJTRAN,254853000,,,,,,,254853000,,,,,,,,,,,,,,
ZJTNBT,124210688,,,,,,,,,,,,,,,124210688,,,,,,
ZJPCWS,79742500,79742500,,,,,,,,,,,,,,,,,,,,
ZJMGCL,2676764000,,,,,,,,2676764000,,,,,,,,,,,,,
ZJMADE,183100900,,,,,,,,183100900,,,,,,,,,,,,,
ZJJIAH,47748600,,,,,,,47748600,,,,,,,,,,,,,,
ZJEXPR,3258568480,,,,3258568480,,,,,,,,,,,,,,,,,
ZJCOMG,1461025090,,,,1461025090,,,,,,,,,,,,,,,,,
ZIMISS,498007480,,,,498007480,,,,,,,,,,,,,,,,,
ZHZHGA,175207400,,,,175207400,,,,,,,,,,,,,,,,,
ZHWATE,79742500,79742500,,,,,,,,,,,,,,,,,,,,
ZHWANG,1546616900,,,,,,,,1546616900,,,,,,,,,,,,,
ZHTONG,399658120,,,,399658120,,,,,,,,,,,,,,,,,
ZHTBUS,47748600,,,,47748600,,,,,,,,,,,,,,,,,
ZHPORT,278985700,,,,278985700,,,,,,,,,,,,,,,,,
ZHONGD,2150948000,,,,,,,,2150948000,,,,,,,,,,,,,
ZHODAL,0,,,,,,0,,,,,,,,,,,,,,,
ZHJMIN,780362150,,,,,,,,780362150,,,,,,,,,,,,,
ZHHPOT,175272000,,,,175272000,,,,,,,,,,,,,,,,,
ZHGZEN,95019714,95019714,,,,,,,,,,,,,,,,,,,,
ZHENGY,3360902200,,,,,3360902200,,,,,,,,,,,,,,,,
ZHENEN,0,,,,,0,,,,,,,,,,,,,,,,
ZHEJIU,165528480,,,,,,,,165528480,,,,,,,,,,,,,
ZHEGRE,159162000,,,,,,,159162000,,,,,,,,,,,,,,
ZHCOMM,286491600,,,,286491600,,,,,,,,,,,,,,,,,
ZHAOJI,398712500,,,,,,,,398712500,,,,,,,,,,,,,
ZHAOE,79742500,,,,79742500,,,,,,,,,,,,,,,,,
ZHANZE,573177000,,,,,573177000,,,,,,,,,,,,,,,,
ZHANJI,63664800,,,,63664800,,,,,,,,,,,,,,,,,
ZHAIK,353192000,,,,,,,,,353192000,,,,,,,,,,,,
ZELNZ,367587500,,,,,,,,,,,,,,,,367587500,,,,,
ZECMK,0,,,,0,,,,,,,,,,,,,,,,,
ZBB,0,,,,,,,,,,,,,,,0,,,,,,
ZAZA,31631000,,,,,,,,,31631000,,,,,,,,,,,,
ZARMIN,52625400,,,,,,,,,,,,,52625400,,,,,,,,
ZARCN,45944858,,,,,,,,,45944858,,,,,,,,,,,,
ZAPAEN,773003700,773003700,,,,,,,,,,,,,,,,,,,,
ZAGHLD,379205600,379205600,,,,,,,,,,,,,,,,,,,,
YZECOD,143536500,,,,143536500,,,,,,,,,,,,,,,,,
YZCOAL,5905230000,,,,,,,,0,,,,,5905230000,,,,,,,,
YYWTER,89311600,89311600,,,,,,,,,,,,,,,,,,,,
YWATER,31897000,31897000,,,,,,,,,,,,,,,,,,,,
YUTONG,541635300,,,,541635300,,,,,,,,,,,,,,,,,
YUNYUN,8546044,,,,,,,8546044,,,,,,,,,,,,,,
YUNTIN,469680199,,,,,,,,469680199,,,,,,,,,,,,,
YUNNCC,111413400,,,,,,,,,,,,,111413400,,,,,,,,
YUNMET,318647000,,,,,,,,318647000,,,,,,,,,,,,,
YUNINV,3437752400,,,,,3437752400,,,,,,,,,,,,,,,,
YUNGRO,381988800,,,,,,,381988800,,,,,,,,,,,,,,
YUNCOA,39790500,,,,,,,39790500,,,,,,,,,,,,,,
YUNALU,509738300,,,,,,,,509738300,,,,,,,,,,,,,
YUNAGM,93905580,,,,,,,,93905580,,,,,,,,,,,,,
YUNAEN,1340000000,,,,,1340000000,,,,,,,,,,,,,,,,
YULOGW,55819750,55819750,,,,,,,,,,,,,,,,,,,,
YULGIG,47748600,,,,47748600,,,,,,,,,,,,,,,,,
YUKONG,1529005744,1263364480,,,265641264,,,,,,,,,,,,,,,,,
YUHUNG,839910530,,,,,,,839910530,,,,,,,,,,,,,,
YUEYUN,124398300,,,,124398300,,,,,,,,,,,,,,,,,
YUEDAM,21612565,,,,,,,,21612565,,,,,,,,,,,,,
YUECHA,2497805,,,,,,,,2497805,,,,,,,,,,,,,
YTPORT,1179252300,,,,1179252300,,,,,,,,,,,,,,,,,
YTPDVL,270575400,,,,270575400,,,,,,,,,,,,,,,,,
YTLPMK,3807206560,1950245000,,,,1856961560,,,,,,,,,,,,,,,,
YTLMK,638570000,,,,,638570000,,,,,,,,,,,,,,,,
YSHEDC,612422400,,,,,,,,,,,,,612422400,,,,,,,,
YRWANJ,47845500,47845500,,,,,,,,,,,,,,,,,,,,
YRICN,1481500000,,,,,,,,1481500000,,,,,,,,,,,,,
YRCW,1870000,,,,1870000,,,,,,,,,,,,,,,,,
YPFDAR,8328146676,,,,,,,,,,,8328146676,,,,,,,,,,
YORW,40000000,40000000,,,,,,,,,,,,,,,,,,,,
YORPKG,3995205,,,,,,,,,,,,,,,,,,,3995205,,
YORKDS,351172245,,,,,,,,,,,,,,,,,,,351172245,,
YOOWON,10374694,,,,,,,10374694,,,,,,,,,,,,,,
YOOSUN,18526240,,,,18526240,,,,,,,,,,,,,,,,,
YONGDO,54115080,,,,,,,54115080,,,,,,,,,,,,,,
YONCOL,2542796600,,,,,,,,,,,,,2542796600,,,,,,,,
YNWTID,87539100,87539100,,,,,,,,,,,,,,,,,,,,
YNWCHI,398712500,398712500,,,,,,,,,,,,,,,,,,,,
YNSMK,100000000,,,,100000000,,,,,,,,,,,,,,,,,
YNPOWE,4581267300,,,,,4581267300,,,,,,,,,,,,,,,,
YNLUCK,445879700,,,,,,,,,,,,445879700,,,,,,,,,
YNGOLD,143245800,,,,,,,,143245800,,,,,,,,,,,,,
YNGFNG,270963000,,,,,,,270963000,,,,,,,,,,,,,,
YNGCHG,46300000,,,,,,,,,,,,,,46300000,,,,,,,
YNDZIN,159162000,,,,,,,,,,,,,159162000,,,,,,,,
YNBSHE,111639500,111639500,,,,,,,,,,,,,,,,,,,,
YNARPT,222826800,,,,222826800,,,,,,,,,,,,,,,,,
YMCHEM,79742500,,,,,,,79742500,,,,,,,,,,,,,,
YLSWJT,15916200,15916200,,,,,,,,,,,,,,,,,,,,
YLMTR,342032000,,,,,,342032000,,,,,,,,,,,,,,,
YKPORT,5142704950,,,,5142704950,,,,,,,,,,,,,,,,,
YITAIG,717682500,,,,,,,,,,,,,717682500,,,,,,,,
YINGDZ,611999000,,,,,,,,,,,,,,611999000,,,,,,,
YIMACA,127329600,,,,,,,,,,,,,127329600,,,,,,,,
YIDGAS,156295300,,,,,,,156295300,,,,,,,,,,,,,,
YIBINT,127588000,,,,,,,127588000,,,,,,,,,,,,,,
YGCZCH,3823921000,,,,,,,,,,,,,3823921000,,,,,,,,
YEMCHO,0,,,,,,,0,,,,,,,,,,,,,,
YELELP,101917000,101917000,,,,,,,,,,,,,,,,,,,,
YCYTGI,79581000,,,,,,,,,,,,,79581000,,,,,,,,
YCXFGP,127588000,,,,,,,127588000,,,,,,,,,,,,,,
YCNCC,231578000,,,,,,,231578000,,,,,,,,,,,,,,
YCHCXF,47845500,,,,,,,,,,,,,47845500,,,,,,,,
YARNO,2016037500,,,,,,,2016037500,,,,,,,,,,,,,,
YANXIA,398712500,,,,,,,,398712500,,,,,,,,,,,,,
YANTZE,19114492100,,,,,17458055600,,,,,,,,,,1656436500,,,,,,
YANGTZ,5404038000,,,,,5404038000,,,,,,,,,,,,,,,,
YANGQU,478455000,,,,,,,,,,,,,478455000,,,,,,,,
YANG,642731197,,,,642731197,,,,,,,,,,,,,,,,,
YANCOA,6226625700,,,,,,,,,,,,,6226625700,,,,,,,,
YAMTRA,182515000,,,,182515000,,,,,,,,,,,,,,,,,
YAMALR,2363230000,,,,,,,,,2363230000,,,,,,,,,,,,
XZMINE,318647000,,,,,,,,,,,,,318647000,,,,,,,,
XZAPYZ,1919517100,1919517100,,,,,,,,,,,,,,,,,,,,
XYTYWC,87716750,87716750,,,,,,,,,,,,,,,,,,,,
XYIRON,254659200,,,,,,,,254659200,,,,,,,,,,,,,
XWANGS,30000000,,,,,,,,30000000,,,,,,,,,,,,,
XRGCN,0,,,,,,,,,,,,,0,,,,,,,,
XPOFP,14846579,,,,14846579,,,,,,,,,,,,,,,,,
XPO,2135000000,,,,2135000000,,,,,,,,,,,,,,,,,
XOM,24961084000,,,,,,,,,1446254000,,23514830000,,,,,,,,,,
XNTIS,159485000,,,,,,,,159485000,,,,,,,,,,,,,
XNGUBZ,169659050,,,,,,,,,,,,,,,169659050,,,,,,
XNGTOU,0,,,,,,,0,,,,,,,,,,,,,,
XMTUNG,239227500,,,,,,,,239227500,,,,,,,,,,,,,
XMPORT,1433911500,,,,1433911500,,,,,,,,,,,,,,,,,
XMPDVL,175239700,,,,175239700,,,,,,,,,,,,,,,,,
XMITGH,430286500,,,,430286500,,,,,,,,,,,,,,,,,
XLHTWS,23922750,23922750,,,,,,,,,,,,,,,,,,,,
XJZTCH,1210600200,,,,,,,1210600200,,,,,,,,,,,,,,
XJZHTA,1035199000,,,,,,,1035199000,,,,,,,,,,,,,,
XJYSJS,207330500,,,,,,,,207330500,,,,,,,,,,,,,
XJNENG,135400750,,,,,,,,,,,,,,,135400750,,,,,,
XJJINT,87539100,,,,,,,,87539100,,,,,,,,,,,,,
XJENGR,146429040,,,,,,,,,,,,,146429040,,,,,,,,
XJCPIV,206910600,,,,,,,206910600,,,,,,,,,,,,,,
XJAIRP,79581000,,,,79581000,,,,,,,,,,,,,,,,,
XISHWA,143342700,143342700,,,,,,,,,,,,,,,,,,,,
XINYUG,159485000,,,,,,,,159485000,,,,,,,,,,,,,
XINXIN,127588000,,,,,,,,127588000,,,,,,,,,,,,,
XINWEN,445976600,,,,,,,,,,,,,445976600,,,,,,,,
XINJOI,310365900,,,,,,,,310365900,,,,,,,,,,,,,
XININS,74957950,,,,,,,,74957950,,,,,,,,,,,,,
XINING,8358292,,,,,,,,8358292,,,,,,,,,,,,,
XINIIC,300000000,,,,,,,300000000,,,,,,,,,,,,,,
XINGLU,1018862900,1018862900,,,,,,,,,,,,,,,,,,,,
XINDUC,318647000,,,,,,,,318647000,,,,,,,,,,,,,
XINAOG,2081125000,2081125000,,,,,,,,,,,,,,,,,,,,
XIBAOG,47845500,,,,,,,47845500,,,,,,,,,,,,,,
XIANGY,318324000,,,,318324000,,,,,,,,,,,,,,,,,
XIAINT,398357200,,,,398357200,,,,,,,,,,,,,,,,,
XEL,15000000000,15000000000,,,,,,,,,,,,,,,,,,,,
XEC,1500000000,,,,,,,,,1500000000,,,,,,,,,,,,
XCOO,518703000,,,,,,,,,518703000,,,,,,,,,,,,
X,2311794000,,,,,,,,2311794000,,,,,,,,,,,,,
WZTRAN,143407300,,,,143407300,,,,,,,,,,,,,,,,,
WZMUNI,63794000,,,,63794000,,,,,,,,,,,,,,,,,
WYUNA,145956822,145956822,,,,,,,,,,,,,,,,,,,,
WYCKCO,0,,,,,,,0,,,,,,,,,,,,,,
WXHJCD,318970000,,,,,,,,,,,,,,,318970000,,,,,,
WWUF,1625990500,1625990500,,,,,,,,,,,,,,,,,,,,
WWLNO,422473624,,,,422473624,,,,,,,,,,,,,,,,,
WUZCN,478455000,,,,,,,478455000,,,,,,,,,,,,,,
WUXICO,1355396400,,,,1355396400,,,,,,,,,,,,,,,,,
WUKAEL,547556594,,,,,,,,,,,,,547556594,,,,,,,,
WUJIAN,47748600,47748600,,,,,,,,,,,,,,,,,,,,
WUIRON,1114134000,,,,,,,,1114134000,,,,,,,,,,,,,
WUHPOR,31832400,,,,31832400,,,,,,,,,,,,,,,,,
WUGANG,1034553000,,,,,,,,1034553000,,,,,,,,,,,,,
WTRSRC,95691000,,,,,,,,95691000,,,,,,,,,,,,,
WTR,76600000,76600000,,,,,,,,,,,,,,,,,,,,
WTPTRC,239227500,,,,,,,,,,,,,,,,239227500,,,,,
WTI,514790000,,,,,,,,,514790000,,,,,,,,,,,,
WSWAT,127588000,127588000,,,,,,,,,,,,,,,,,,,,
WSTRCH,38362200,,,,38362200,,,,,,,,,,,,,,,,,
WSTMIN,351500910,,,,,,,,351500910,,,,,,,,,,,,,
WSOFIN,815714500,,,,815714500,,,,,,,,,,,,,,,,,
WSAREU,105621850,,,,105621850,,,,,,,,,,,,,,,,,
WRGCN,0,,,,,,,,,,,,,,0,,,,,,,
WREWN,187135200,,,,,,,,,,,,,,,187135200,,,,,,
WRES,0,,,,,,,,,0,,,,,,,,,,,,
WRD,500000000,,,,,,,,,500000000,,,,,,,,,,,,
WR,3555000000,3555000000,,,,,,,,,,,,,,,,,,,,
WPZ,16367500000,,,,,,,,,,16367500000,,,,,,,,,,,
WPX,2600000000,,,,,,,,,2600000000,,,,,,,,,,,,
WPLAU,4286667250,,,,,,,,,4286667250,,,,,,,,,,,,
WOR,750000000,,,,,,,,750000000,,,,,,,,,,,,,
WOOENE,96838611,,,,,,,,,,,,,,,96838611,,,,,,
WODTRN,325166325,325166325,,,,,,,,,,,,,,,,,,,,
WNRL,0,,,,,,,,,,,,,,,,0,,,,,
WNR,0,,,,,,,,,,,,,,,,0,,,,,
WNDSMD,14723880,,,,,,,,,,,,,,,14723880,,,,,,
WNDSLR,150435449,,,,,,,,,,,,,,,150435449,,,,,,
WNC,369938000,,,,369938000,,,,,,,,,,,,,,,,,
WMB,4211964000,,,,,,,,,,4211964000,,,,,,,,,,,
WLTG,1561146000,,,,,,,,1561146000,,,,,,,,,,,,,
WLM,68022500,,,,,,,68022500,,,,,,,,,,,,,,
WLL,2843980000,,,,,,,,,2843980000,,,,,,,,,,,,
WLK,3258763000,,,,,,,3258763000,,,,,,,,,,,,,,
WLCOIN,283509828,,,,,,,,283509828,,,,,,,,,,,,,
WLB,350000000,,,,,,,,,,,,,350000000,,,,,,,,
WJACN,719616400,,,,,,,,,,,,719616400,,,,,,,,,
WIZINF,0,,,,,,,,,,,,,,,,0,,,,,
WISPOW,0,,,,,,,,,,,,,,,0,,,,,,
WINSWY,40000000,,,,,,,,,,,,,40000000,,,,,,,,
WINHTC,6484184,,,,,,,,6484184,,,,,,,,,,,,,
WINENE,3217737150,,,,,,,,,,,,,3217737150,,,,,,,,
WINDMW,1023137833,,,,,,,,,,,,,,,1023137833,,,,,,
WIND,0,,,,,,,,,,,,,,,0,,,,,,
WILDCA,0,,,,0,,,,,,,,,,,,,,,,,
