Co. Corp TKR,Total,Banks,Financial Services,Diversified Banks,Consumer Finance,Utilities,Real Estate,Supranationals,Industrial Other,Commercial Finance,Government Development Banks,Consumer Services,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Food & Beverage,Life Insurance,Metals & Mining,Machinery Manufacturing,Wireless Telecommunications Services,Electrical Equipment Manufacturing,Exploration & Production,Property & Casualty Insurance,Software & Services,Health Care Facilities & Services,Retail - Consumer Discretionary,Travel & Lodging,Pipeline,Pharmaceuticals,Wireline Telecommunications Services,Integrated Oils,Construction Materials Manufacturing,Hardware,Airlines,Coal Operations,Homebuilders,Oil & Gas Services & Equipment,Supermarkets & Pharmacies,Railroad,Auto Parts Manufacturing,Others,<blank>
Total,3.30148E+13,8.53826E+12,2.60977E+12,2.20015E+12,1.63331E+12,1.35392E+12,1.06168E+12,1.48278E+12,7.47894E+11,3.82016E+11,9.40591E+11,1.38084E+11,6.74802E+11,4.50036E+11,5.66204E+11,3.87219E+11,5.80791E+11,4.31125E+11,4.45805E+11,1.60748E+11,6.15379E+11,2.20734E+11,3.67477E+11,2.75051E+11,3.52788E+11,1.97133E+11,2.26319E+11,1.50474E+11,3.35482E+11,4.08424E+11,3.11882E+11,6.78723E+11,1.39329E+11,1.4381E+11,1.13562E+11,1.5071E+11,61958473580,1.17108E+11,1.89326E+11,1.40141E+11,94533103861,2.93923E+12,15117972
TOTAL,50002450290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50002450290,,,,,,,,,,,
ZZYTBC,159485000,,,,,,,,,,,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZYNLN,454157570,,454157570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZXZID,127588000,,127588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZXLSI,159485000,,,,,,,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZXCAD,159323500,,,,,,,,159323500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZTRAN,828740600,,,,,,,,,,,,,,,,,,,828740600,,,,,,,,,,,,,,,,,,,,,,,
ZZSOAI,1274911000,,1274911000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZREAL,796617500,,,,,,796617500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZRCBK,111591050,111591050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZNLSA,31897000,,,,,,,,31897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZNDCI,318324000,,,,,,,,318324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZMZDI,363625800,,,,,,,,363625800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZLXCD,190994400,,,,,,,,190994400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
