Old_INDUSTRY_SECTOR,Old_BICS Code,Old_INDUSTRY_GROUP,Old_BICS Code,Old_INDUSTRY_SUBGROUP,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code,NEW_Industry Name,NEW_Level,NEW_BICS Code
Communications,20014,Advertising,321,Advertising Agencies,3116,Advertising & Marketing,2,,,,
,,,322,Advertising Services,3116,Advertising & Marketing,2,,,,
,,,19,Advertising Sales,3116,Advertising & Marketing,2,,,,
,,,323,Direct Marketing,3116,Advertising & Marketing,2,,,,
,20016,Media,45,Cable/Satellite TV,3110,Cable & Satellite,2,,,,
,,,307,Multimedia,3114,Entertainment Content,2,,,,
,,,337,Broadcast Serv/Program,3114,Entertainment Content,2,,,,
,,,47,Publishing-Books,3115,Publishing & Broadcasting,2,,,,
,,,48,Publishing-Newspapers,3115,Publishing & Broadcasting,2,,,,
,,,49,Publishing-Periodicals,3115,Publishing & Broadcasting,2,,,,
,,,44,Television,3115,Publishing & Broadcasting,2,,,,
,,,50,Radio,3115,Publishing & Broadcasting,2,,,,
,20015,Internet,689,E-Marketing/Info,3116,Advertising & Marketing,2,,,,
,,,681,Internet Telephony,3111,Wireline Telecommunications Services,2,,,,
,,,707,Internet Connectiv Svcs,3111,Wireline Telecommunications Services,2,,,,
,,,705,B2B/E-Commerce,3112,Internet Media,2,,,,
,,,678,E-Commerce/Services,3112,Internet Media,2,,,,
,,,692,Web Hosting/Design,3112,Internet Media,2,,,,
,,,684,Web Portals/ISP,3112,Internet Media,2,,,,
,,,708,Internet Content-Entmnt,3112,Internet Media,2,,,,
,,,680,Internet Content-Info/Ne,3112,Internet Media,2,,,,
,,,677,E-Commerce/Products,3212,Retail - Consumer Discretionary,2,,,,
,,,687,Internet Incubators,3516,Financial Services,2,,,,
,,,667,Internet Brokers,3516,Financial Services,2,,,,
,,,710,Internet Infrastr Equip,3811,Communications Equipment,2,,,,
,,,706,Internet Applic Sftwr,3812,Software & Services,2,,,,
,,,711,Internet Infrastr Sftwr,3812,Software & Services,2,,,,
,,,691,Internet Security,3812,Software & Services,2,,,,
,,,688,E-Services/Consulting,3812,Software & Services,2,3112,Internet Media,2,
,,,709,Internet Financial Svcs,3812,Software & Services,2,,,,
,20017,Telecommunications,259,Cellular Telecom,3113,Wireless Telecommunications Services,2,,,,
,,,431,Satellite Telecom,3113,Wireless Telecommunications Services,2,,,,
,,,260,Telecom Services,3111,Wireline Telecommunications Services,2,,,,
,,,300,Telephone-Integrated,3111,Wireline Telecommunications Services,2,,,,
,,,359,Networking Products,3811,Communications Equipment,2,,,,
,,,262,Telecommunication Equip,3811,Communications Equipment,2,,,,
,,,432,Wireless Equipment,3811,Communications Equipment,2,,,,
,,,261,Telecom Eq Fiber Optics,3811,Communications Equipment,2,,,,
"Consumer, Cyclical",20019,Apparel,21,Apparel Manufacturers,3219,Apparel & Textile Products,2,,,,
,,,642,Intimate Apparel,3219,Apparel & Textile Products,2,,,,
,,,324,Athletic Footwear,3219,Apparel & Textile Products,2,,,,
,,,22,Footwear&Related Apparel,3219,Apparel & Textile Products,2,,,,
,,,23,Textile-Apparel,3219,Apparel & Textile Products,2,,,,
,20033,Textiles,298,Tannery,3219,Apparel & Textile Products,2,,,,
,,,76,Wool,3219,Apparel & Textile Products,2,,,,
,,,73,Linen Supply&Rel Items,3219,Apparel & Textile Products,2,,,,
,,,74,Textile-Home Furnishings,3219,Apparel & Textile Products,2,,,,
,,,75,Textile-Products,3219,Apparel & Textile Products,2,,,,
,20020,Auto Manufacturers,25,Auto-Cars/Light Trucks,3211,Automobiles Manufacturing,2,,,,
,,,26,Auto-Med&Heavy Duty Trks,3712,Transportation & Logistics,2,,,,
,,,27,Auto-Truck Trailers,3712,Transportation & Logistics,2,,,,
,20021,Auto Parts&Equipment,28,Auto/Trk Prts&Equip-Orig,3230,Auto Parts Manufacturing,2,,,,
,,,29,Auto/Trk Prts&Equip-Repl,3230,Auto Parts Manufacturing,2,,,,
,,,30,Rubber-Tires,3230,Auto Parts Manufacturing,2,,,,
,20025,Home Builders,33,Bldg-Residential/Commer,3217,Homebuilders,2,,,,
,,,32,Bldg-Mobil Home/Mfd Hous,3217,Homebuilders,2,,,,
,20026,Home Furnishings,35,Appliances,3218,Home Improvement,2,,,,
,,,38,Home Furnishings,3225,Home & Office Products Manufacturing,2,,,,
,,,37,Audio/Video Products,3810,Hardware,2,,,,
,20027,Housewares,231,Housewares,3225,Home & Office Products Manufacturing,2,,,,
,,,292,Crystal&Giftware,3225,Home & Office Products Manufacturing,2,,,,
,,,226,Garden Products,3225,Home & Office Products Manufacturing,2,,,,
,,,293,Home Decoration Products,3225,Home & Office Products Manufacturing,2,,,,
,20030,Office Furnishings,254,Office Furnishings-Orig,3225,Home & Office Products Manufacturing,2,,,,
,20034,Toys/Games/Hobbies,338,Collectibles,3210,Leisure Products Manufacturing,2,,,,
,,,77,Toys,3210,Leisure Products Manufacturing,2,,,,
,20028,Leisure Time,342,Motorcycle/Motor Scooter,3211,Automobiles Manufacturing,2,,,,
,,,325,Recreational Vehicles,3210,Leisure Products Manufacturing,2,,,,
