company_id,bloomberg_id,company_name,country_of_domicile,ticker,corporate_bond_ticker,figi,isin,cusip,sedol1,asset_type,security_icb_subsector,security_bics_subgroup,security_bclass4,security_mapped_sector,cfi_code,security_type,maturity_date,issue_date,amount_issued,amount_out,coupon_value,par_price,par_amount,current_face_amount,accrued_interest,security_amount_out_native,unit_share_price,position_market,market_value,current_shares_outstanding,current_shares_outstanding_all_classes,free_float_percent,free_float_shares,exchange_rate_usd,moody_rating,s_and_p_rating,fitch_rating,financial_timestamp
103635,,Mansard Mortgages Plc,GB,MANSD 2006-1A A2,MANSD,BBG000B042P0,XS0272297358,BCC0TTMK7,B1GJ7K6,Bonds,,WL Collat CMO Other,,Other,DGVXBB,Private Label CMOs,,,286219.125,24675.88268,0.985,96.80143,217500000,0.113452334,0.035382514,19007.03461,128.1237871,1,0.115389116,,,,,1.31595,Aaa,A,AAA,2019Q4
10308,130847,Sichuan Chuantou Energy Co Ltd,CN,600674 CH,,BBG000BDZ045,CNE000000BQ0,,6313092,Equity,Conventional Electricity,Electric-Distribution,Local Authority,Power,ESVUFR,Common Stocks,,,,,,9.11,,,,,1.389147731,1,1.389147731,4402140672,4402141000,24.48205272,1077734400.12760228,0.143358899,,,,2019Q4
1191,100707,Harley-Davidson Inc,US,HDI AR,,BBG000HFLHZ8,ARDEUT111069,,2568852,Others,Automobiles,Motorcycle/Motor Scooter,Automotive,Automotive,EMXXXA,Depository Receipts,,,,,,,,,,,,1,0,462923456,154292400,99.79373188,461968592.49026977,0.016715644,,,,2019Q4
1191,100707,Harley-Davidson Inc,US,HDIC AR,,BBG000HFMP25,ARDEUT111069,,B56M5B0,Others,Automobiles,Motorcycle/Motor Scooter,Automotive,Automotive,EMXXXA,Depository Receipts,,,,,,,,,,,,1,0,462923456,154292400,99.79373,461968583.7873088,1,,,,2019Q4
11541,13966223,Inter Rao Ues Pjsc,RU,IRAOL US,,BBG000QGS8J7,US45835N1054,45835N105,B2RJ252,Others,Conventional Electricity,Electric-Generation,Electric,Power,EDSXFR,Depository Receipts,,,,,,,,,,,,1,0,1044000000,104400000000,39.56509,413059539.6,1,,,,2019Q4
55172,11774479,Emas Offshore Ltd,SG,EMAS NO,,BBG000R3KH85,SG1AD2000008,,BRJ9FJ0,Equity,Oil Equipment & Services,Oil-Field Services,Oil Field Services,Oil&Gas,ESVUFR,Common Stocks,,,,,,,,,,,,1,0,,,,,0.113597637,,,,2019Q4
46126,12392676,Aurora Cannabis Inc,CA,ACB CN,,BBG000RSS169,CA05156X1087,05156X108,BTGWJY9,Equity,Tobacco,Medical-Drugs,Pharmaceuticals,Other,ESVUFR,Common Stocks,,,,,,2.48,,,,,2.003931,1,2.003931,1089513472,1089513472,96.47529,1051111281.7010688,0.7707426,,,,2019Q4
2580,10546083,Rushydro Pjsc,RU,RSHRL US,,BBG000VJ03J6,US7821835037,782183503,BYSK054,Others,Alternative Electricity,Electric-Integrated,"Government Owned, No Guarantee",Power,EDSXFR,Depository Receipts,,,,,,,,,,,,1,0,4262888192,426288800000,33.3733,1422666464.980736,1,,,,2019Q4
,,,US,G2SF 4.5 1/12,G2SF,BBG001LJW104,US21H0426120,21H042612,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994,50821206,4.5,105.075,86532994103,1,,50821206,104.66,1,1.0466,,,,,1,,,,2019Q4
,,,US,G2SF 4.5 6/11,G2SF,BBG001LJW177,US21H0426617,21H042661,,Bonds,,GNMA2 Single Family 30yr,,Other,,TBAs,,,86532994.1,,4.5,,86532994103,,,,,1,,,,,,1,,,,2019Q4
