Holding.ID,Portfolio.Name,Investor.Name,Currency,NumberofShares
BR311958,pow_eq_cb_1,Test,USD,NA
BR647179,pow_eq_cb_1,Test,USD,NA
BR422521,pow_eq_cb_1,Test,USD,NA
BR400339,pow_eq_cb_1,Test,USD,NA
BR31770,pow_eq_cb_1,Test,USD,NA
BR463072,pow_eq_cb_1,Test,USD,NA
BR49301,pow_eq_cb_1,Test,USD,NA
BR122479,pow_eq_cb_1,Test,USD,NA
BR51186,pow_eq_cb_1,Test,USD,NA
BR502027,pow_eq_cb_1,Test,USD,NA
BR395851,pow_eq_cb_1,Test,USD,NA
BR165945,pow_eq_cb_1,Test,USD,NA
BR445968,pow_eq_cb_1,Test,USD,NA
BR405639,pow_eq_cb_1,Test,USD,NA
BR529500,pow_eq_cb_1,Test,USD,NA
BR587670,pow_eq_cb_1,Test,USD,NA
BR462988,pow_eq_cb_1,Test,USD,NA
BR92126,pow_eq_cb_1,Test,USD,NA
BR6520,pow_eq_cb_1,Test,USD,NA
BR418341,pow_eq_cb_1,Test,USD,NA
BR319003,pow_eq_cb_1,Test,USD,NA
BR145877,pow_eq_cb_1,Test,USD,NA
BR650077,pow_eq_cb_1,Test,USD,NA
BR136586,pow_eq_cb_1,Test,USD,NA
BR489763,pow_eq_cb_1,Test,USD,NA
BR261339,pow_eq_cb_1,Test,USD,NA
BR644010,pow_eq_cb_1,Test,USD,NA
BR51108,pow_eq_cb_1,Test,USD,NA
BR104722,pow_eq_cb_1,Test,USD,NA
BR347807,pow_eq_cb_1,Test,USD,NA
BR659658,pow_eq_cb_1,Test,USD,NA
BR250238,pow_eq_cb_1,Test,USD,NA
BR459039,pow_eq_cb_1,Test,USD,NA
BR305219,pow_eq_cb_1,Test,USD,NA
BR473722,pow_eq_cb_1,Test,USD,NA
BR576698,pow_eq_cb_1,Test,USD,NA
BR250408,pow_eq_cb_1,Test,USD,NA
BR57515,pow_eq_cb_1,Test,USD,NA
BR624352,pow_eq_cb_1,Test,USD,NA
BR311484,pow_eq_cb_1,Test,USD,NA
BR263319,pow_eq_cb_1,Test,USD,NA
BR518425,pow_eq_cb_1,Test,USD,NA
BR511960,pow_eq_cb_1,Test,USD,NA
BR517296,pow_eq_cb_1,Test,USD,NA
BR635715,pow_eq_cb_1,Test,USD,NA
BR421396,pow_eq_cb_1,Test,USD,NA
BR155840,pow_eq_cb_1,Test,USD,NA
BR628601,pow_eq_cb_1,Test,USD,NA
BR97799,pow_eq_cb_1,Test,USD,NA
BR90392,pow_eq_cb_1,Test,USD,NA
BR328698,pow_eq_cb_1,Test,USD,NA
BR93803,pow_eq_cb_1,Test,USD,NA
BR356937,pow_eq_cb_1,Test,USD,NA
BR56617,pow_eq_cb_1,Test,USD,NA
BR576214,pow_eq_cb_1,Test,USD,NA
BR465409,pow_eq_cb_1,Test,USD,NA
BR491783,pow_eq_cb_1,Test,USD,NA
BR340202,pow_eq_cb_1,Test,USD,NA
BR61199,pow_eq_cb_1,Test,USD,NA
BR510587,pow_eq_cb_1,Test,USD,NA
BR573168,pow_eq_cb_1,Test,USD,NA
BR187313,pow_eq_cb_1,Test,USD,NA
BR495948,pow_eq_cb_1,Test,USD,NA
BR269747,pow_eq_cb_1,Test,USD,NA
BR119215,pow_eq_cb_1,Test,USD,NA
BR352313,pow_eq_cb_1,Test,USD,NA
BR37920,pow_eq_cb_1,Test,USD,NA
BR339612,pow_eq_cb_1,Test,USD,NA
BR93213,pow_eq_cb_1,Test,USD,NA
BR83833,pow_eq_cb_1,Test,USD,NA
BR77854,pow_eq_cb_1,Test,USD,NA
BR333627,pow_eq_cb_1,Test,USD,NA
BR344104,pow_eq_cb_1,Test,USD,NA
BR423787,pow_eq_cb_1,Test,USD,NA
BR158040,pow_eq_cb_1,Test,USD,NA
BR357406,pow_eq_cb_1,Test,USD,NA
BR276858,pow_eq_cb_1,Test,USD,NA
BR621461,pow_eq_cb_1,Test,USD,NA
BR32158,pow_eq_cb_1,Test,USD,NA
BR677379,pow_eq_cb_1,Test,USD,NA
BR346202,pow_eq_cb_1,Test,USD,NA
BR513988,pow_eq_cb_1,Test,USD,NA
BR100598,pow_eq_cb_1,Test,USD,NA
BR656985,pow_eq_cb_1,Test,USD,NA
BR181896,pow_eq_cb_1,Test,USD,NA
BR99505,pow_eq_cb_1,Test,USD,NA
BR87064,pow_eq_cb_1,Test,USD,NA
BR672431,pow_eq_cb_1,Test,USD,NA
BR101303,pow_eq_cb_1,Test,USD,NA
BR204421,pow_eq_cb_1,Test,USD,NA
BR81568,pow_eq_cb_1,Test,USD,NA
BR33288,pow_eq_cb_1,Test,USD,NA
BR594109,pow_eq_cb_1,Test,USD,NA
BR14759,pow_eq_cb_1,Test,USD,NA
BR47898,pow_eq_cb_1,Test,USD,NA
BR458209,pow_eq_cb_1,Test,USD,NA
BR422601,pow_eq_cb_1,Test,USD,NA
BR174134,pow_eq_cb_1,Test,USD,NA
BR646116,pow_eq_cb_1,Test,USD,NA
BR272,pow_eq_cb_1,Test,USD,NA
BR427579,pow_eq_cb_1,Test,USD,NA
BR634261,pow_eq_cb_1,Test,USD,NA
BR146321,pow_eq_cb_1,Test,USD,NA
BR325867,pow_eq_cb_1,Test,USD,NA
BR301060,pow_eq_cb_1,Test,USD,NA
BR21123,pow_eq_cb_1,Test,USD,NA
BR140439,pow_eq_cb_1,Test,USD,NA
BR608733,pow_eq_cb_1,Test,USD,NA
BR305756,pow_eq_cb_1,Test,USD,NA
BR610355,pow_eq_cb_1,Test,USD,NA
BR4007,pow_eq_cb_1,Test,USD,NA
BR488960,pow_eq_cb_1,Test,USD,NA
BR377975,pow_eq_cb_1,Test,USD,NA
BR370498,pow_eq_cb_1,Test,USD,NA
BR162057,pow_eq_cb_1,Test,USD,NA
BR172380,pow_eq_cb_1,Test,USD,NA
BR76508,pow_eq_cb_1,Test,USD,NA
BR369800,pow_eq_cb_1,Test,USD,NA
BR562579,pow_eq_cb_1,Test,USD,NA
BR205989,pow_eq_cb_1,Test,USD,NA
BR48885,pow_eq_cb_1,Test,USD,NA
BR39557,pow_eq_cb_1,Test,USD,NA
BR669520,pow_eq_cb_1,Test,USD,NA
BR565459,pow_eq_cb_1,Test,USD,NA
BR354466,pow_eq_cb_1,Test,USD,NA
BR193761,pow_eq_cb_1,Test,USD,NA
BR660560,pow_eq_cb_1,Test,USD,NA
BR147842,pow_eq_cb_1,Test,USD,NA
BR515733,pow_eq_cb_1,Test,USD,NA
BR126617,pow_eq_cb_1,Test,USD,NA
BR7804,pow_eq_cb_1,Test,USD,NA
BR114774,pow_eq_cb_1,Test,USD,NA
BR374665,pow_eq_cb_1,Test,USD,NA
BR626328,pow_eq_cb_1,Test,USD,NA
BR444220,pow_eq_cb_1,Test,USD,NA
BR190677,pow_eq_cb_1,Test,USD,NA
BR272367,pow_eq_cb_1,Test,USD,NA
BR457791,pow_eq_cb_1,Test,USD,NA
BR18505,pow_eq_cb_1,Test,USD,NA
BR76823,pow_eq_cb_1,Test,USD,NA
BR493402,pow_eq_cb_1,Test,USD,NA
BR615156,pow_eq_cb_1,Test,USD,NA
BR51234,pow_eq_cb_1,Test,USD,NA
BR265629,pow_eq_cb_1,Test,USD,NA
BR288370,pow_eq_cb_1,Test,USD,NA
BR513961,pow_eq_cb_1,Test,USD,NA
BR675633,pow_eq_cb_1,Test,USD,NA
BR99857,pow_eq_cb_1,Test,USD,NA
BR128251,pow_eq_cb_1,Test,USD,NA
BR686177,pow_eq_cb_1,Test,USD,NA
BR151654,pow_eq_cb_1,Test,USD,NA
