Holding.ID,Portfolio.Name,Investor.Name,ISIN,MarketValue,Currency,NumberofShares
BR311958,portfolio_eq_cb_test,Test,US455434BT65,18228000,USD,NA
BR647179,portfolio_eq_cb_test,Test,US144577AJ24,43950,USD,NA
BR422521,portfolio_eq_cb_test,Test,US81783QAC96,323200,USD,NA
BR400339,portfolio_eq_cb_test,Test,CA29250ZAS70,1673121,USD,NA
BR31770,portfolio_eq_cb_test,Test,US29358QAG47,2526300,USD,NA
BR463072,portfolio_eq_cb_test,Test,US02665WBH34,709898,USD,NA
BR49301,portfolio_eq_cb_test,Test,US96950FAG90,2076780,USD,NA
BR122479,portfolio_eq_cb_test,Test,US012873AK13,24327163,USD,NA
BR51186,portfolio_eq_cb_test,Test,US87305QCC33,13566150,USD,NA
BR502027,portfolio_eq_cb_test,Test,US05565QCY26,3499136,USD,NA
BR395851,portfolio_eq_cb_test,Test,US565849AN67,999443,USD,NA
BR165945,portfolio_eq_cb_test,Test,US78355HJT77,32021408,USD,NA
BR445968,portfolio_eq_cb_test,Test,US806851AE12,3088320,USD,NA
BR405639,portfolio_eq_cb_test,Test,US89236TCA16,51995,USD,NA
BR529500,portfolio_eq_cb_test,Test,US74733VAC46,409803,USD,NA
BR587670,portfolio_eq_cb_test,Test,US565849AN67,250018,USD,NA
BR462988,portfolio_eq_cb_test,Test,US565849AK29,4277923,USD,NA
BR92126,portfolio_eq_cb_test,Test,US85771PAQ54,21082842,USD,NA
BR6520,portfolio_eq_cb_test,Test,US701885AD73,2525000,USD,NA
BR418341,portfolio_eq_cb_test,Test,US71654QBU58,101350,USD,NA
BR319003,portfolio_eq_cb_test,Test,US096630AF58,7119353,USD,NA
BR145877,portfolio_eq_cb_test,Test,US31428XAS53,5999568,USD,NA
BR650077,portfolio_eq_cb_test,Test,US345370CQ17,349875,USD,NA
BR136586,portfolio_eq_cb_test,Test,US023551AJ38,7276530,USD,NA
BR489763,portfolio_eq_cb_test,Test,US806851AG69,2102620,USD,NA
BR261339,portfolio_eq_cb_test,Test,US78355HJW07,5013540,USD,NA
BR644010,portfolio_eq_cb_test,Test,US450913AE80,1609425,USD,NA
BR51108,portfolio_eq_cb_test,Test,US378272AQ19,17825400,USD,NA
BR104722,portfolio_eq_cb_test,Test,US31428XAR70,132192,USD,NA
BR347807,portfolio_eq_cb_test,Test,US247361ZK72,27357842,USD,NA
BR659658,portfolio_eq_cb_test,Test,US166764AN08,1001664,USD,NA
BR250238,portfolio_eq_cb_test,Test,US29273RAF64,10361880,USD,NA
BR459039,portfolio_eq_cb_test,Test,US71654QAZ54,97708,USD,NA
BR305219,portfolio_eq_cb_test,Test,US75281AAS87,2940000,USD,NA
BR473722,portfolio_eq_cb_test,Test,AU3CB0225472,1596198,USD,NA
