Holding.ID,Portfolio.Name,Investor.Name,ISIN,MarketValue,Currency,NumberofShares
BR311958,pow_eq_cb_1,Test,US455434BT65,18228000,USD,NA
BR647179,pow_eq_cb_1,Test,US144577AJ24,43950,USD,NA
BR422521,pow_eq_cb_1,Test,US81783QAC96,323200,USD,NA
BR400339,pow_eq_cb_1,Test,CA29250ZAS70,1673121,USD,NA
BR31770,pow_eq_cb_1,Test,US29358QAG47,abc,USD,NA
BR463072,pow_eq_cb_1,Test,US02665WBH34,cdg,USD,NA
BR49301,pow_eq_cb_1,Test,US96950FAG90,2076780,USD,NA
BR122479,pow_eq_cb_1,Test,US012873AK13,24327163,USD,NA
BR51186,pow_eq_cb_1,Test,US87305QCC33,13566150,USD,NA
BR502027,pow_eq_cb_1,Test,US05565QCY26,3499136,USD,NA
BR395851,pow_eq_cb_1,Test,US565849AN67,999443,USD,NA
BR165945,pow_eq_cb_1,Test,US78355HJT77,32021408,USD,NA
BR445968,pow_eq_cb_1,Test,US806851AE12,3088320,USD,NA
BR405639,pow_eq_cb_1,Test,US89236TCA16,51995,USD,NA
BR529500,pow_eq_cb_1,Test,US74733VAC46,409803,USD,NA
BR587670,pow_eq_cb_1,Test,US565849AN67,250018,USD,NA
BR462988,pow_eq_cb_1,Test,US565849AK29,4277923,USD,NA
BR92126,pow_eq_cb_1,Test,US85771PAQ54,21082842,USD,NA
BR6520,pow_eq_cb_1,Test,US701885AD73,2525000,USD,NA
BR418341,pow_eq_cb_1,Test,US71654QBU58,101350,USD,NA
BR319003,pow_eq_cb_1,Test,US096630AF58,7119353,USD,NA
BR145877,pow_eq_cb_1,Test,US31428XAS53,5999568,USD,NA
BR650077,pow_eq_cb_1,Test,US345370CQ17,349875,USD,NA
BR136586,pow_eq_cb_1,Test,US023551AJ38,7276530,USD,NA
BR489763,pow_eq_cb_1,Test,US806851AG69,2102620,USD,NA
BR261339,pow_eq_cb_1,Test,US78355HJW07,5013540,USD,NA
BR644010,pow_eq_cb_1,Test,US450913AE80,1609425,USD,NA
BR51108,pow_eq_cb_1,Test,US378272AQ19,17825400,USD,NA
BR104722,pow_eq_cb_1,Test,US31428XAR70,132192,USD,NA
BR347807,pow_eq_cb_1,Test,US247361ZK72,27357842,USD,NA
BR659658,pow_eq_cb_1,Test,US166764AN08,1001664,USD,NA
BR250238,pow_eq_cb_1,Test,US29273RAF64,10361880,USD,NA
BR459039,pow_eq_cb_1,Test,US71654QAZ54,97708,USD,NA
BR305219,pow_eq_cb_1,Test,US75281AAS87,2940000,USD,NA
BR473722,pow_eq_cb_1,Test,AU3CB0225472,1596198,USD,NA
BR576698,pow_eq_cb_1,Test,US345397YG20,2092765,USD,NA
