ISIN,MarketValue,Currency
AT0000722004,0,EUR
AT000000STR1,9247657,EUR
AT00000AMAG3,142671,EUR
AT00000ATEC9,0,EUR
AT00000FACC2,5010,EUR
AT00000VIE62,5696,EUR
AT0000117817,451844,EUR
AT0000135868,2156,EUR
AT0000172747,290402,EUR
AT0000172796,341350,EUR
AT0000173026,136752,EUR
AT0000176219,19438,EUR
AT0000212535,502549,EUR
AT0000212550,480101,EUR
AT0000212584,651607,EUR
AT0000225297,78767,EUR
AT0000272513,1566615,EUR
AT0000272521,1336300,EUR
AT0000285473,542725,EUR
AT0000296181,117145,EUR
AT0000311501,253954,EUR
AT0000311675,260948,EUR
AT0000311683,318030,EUR
AT0000311758,622702,EUR
AT0000325139,366499,EUR
AT0000325196,25098,EUR
AT0000325303,398942,EUR
AT0000325550,265618,EUR
AT0000325568,240157,EUR
AT0000325584,313049,EUR
AT0000326640,39674,EUR
AT0000326772,294749,EUR
AT0000326889,69673,EUR
AT0000330691,59811,EUR
AT0000332853,218337,EUR
AT0000332903,313842,EUR
AT0000339924,89463,EUR
AT0000341904,50786,EUR
AT0000341912,1280108,EUR
AT0000342274,1257051,EUR
AT0000342753,280771,EUR
AT0000342761,59026,EUR
AT0000350665,922497,EUR
AT0000351119,272303,EUR
AT0000351259,160123,EUR
AT0000354295,3314,EUR
AT0000354303,3363,EUR
AT0000354311,7178,EUR
AT0000354329,4988,EUR
AT0000354337,9260,EUR
AT0000354345,7106,EUR
AT0000354352,3678,EUR
AT0000354360,6562,EUR
AT0000354378,3170,EUR
AT0000354386,5071,EUR
AT0000354394,4700,EUR
AT0000354402,2867,EUR
AT0000354410,4215,EUR
AT0000354428,2390,EUR
AT0000354436,3086,EUR
AT0000354444,840,EUR
AT0000354451,3066,EUR
AT0000354469,2822,EUR
AT0000354477,2049,EUR
AT0000354485,2411,EUR
AT0000354493,3965,EUR
AT0000354501,4061,EUR
AT0000354519,1761,EUR
AT0000354527,3407,EUR
AT0000354535,2574,EUR
AT0000354543,3396,EUR
AT0000354550,3061,EUR
AT0000354568,4426,EUR
AT0000354576,5872,EUR
AT0000354584,3187,EUR
AT0000354592,6125,EUR
AT0000354600,4500,EUR
AT0000354618,1961,EUR
AT0000354626,2336,EUR
AT0000354634,2284,EUR
AT0000354642,1518,EUR
AT0000354659,623,EUR
AT0000354667,200,EUR
AT0000354675,133,EUR
AT0000354683,420,EUR
AT0000354717,658,EUR
AT0000354725,44,EUR
AT0000354733,502,EUR
AT0000358189,51177,EUR
AT0000436282,638376,EUR
AT0000437850,131290,EUR
AT0000439211,345647,EUR
AT0000439583,353561,EUR
AT0000439757,528984,EUR
AT0000439948,307190,EUR
AT0000459235,540293,EUR
AT0000466545,381041,EUR
AT0000473426,957539,EUR
AT0000473566,325400,EUR
AT0000483300,271577,EUR
AT0000485560,283,EUR
AT0000485578,283,EUR
AT0000485586,412,EUR
AT0000485594,498,EUR
AT0000485602,151,EUR
AT0000486485,215,EUR
AT0000506266,317443,EUR
AT0000509781,14423,EUR
AT0000510102,172,EUR
AT0000510441,292843,EUR
AT0000539481,1112854,EUR
AT0000606306,3064197,EUR
AT0000609607,251620,EUR
AT0000612502,419615,EUR
AT0000615943,15007,EUR
AT0000624705,417881,EUR
AT0000624739,243586,EUR
AT0000625108,1915562,EUR
AT0000625132,546392,EUR
AT0000625504,13851,EUR
AT0000625538,83427,EUR
AT0000637475,1950,EUR
AT0000641352,104575,EUR
AT0000644505,14995,EUR
AT0000652011,90997,EUR
AT0000652144,7857771,EUR
AT0000652250,14496,EUR
AT0000655006,0,EUR
AT0000702709,35913,EUR
AT0000704085,41,EUR
AT0000708441,19158,EUR
AT0000722053,0,EUR
AT0000723200,105,EUR
AT0000723242,203,EUR
AT0000723606,51411,EUR
AT0000730007,36585,EUR
AT0000741053,3343,EUR
AT0000741301,4303,EUR
AT0000741806,225463,EUR
AT0000743059,58643,EUR
AT0000746409,154413,EUR
AT0000788245,202,EUR
AT0000808209,228,EUR
AT0000815402,88397,EUR
AT0000818802,14655,EUR
AT0000821103,1770244,EUR
AT0000829460,702773,EUR
AT0000831706,336438,EUR
AT0000835145,356690,EUR
AT0000905971,23366,EUR
AT0000908116,379364,EUR
AT0000908504,13655,EUR
AT0000937503,2789953,EUR
AT0000938204,4126,EUR
AT0000946652,6473,EUR
AT0000963103,10602,EUR
AT0000969985,340909,EUR
AT0000988951,66358,EUR
AT0000A00AA5,140637,EUR
AT0000A00XX9,1689,EUR
AT0000A01U48,130162,EUR
AT0000A03MQ0,84982,EUR
AT0000A03MU2,633285,EUR
AT0000A045M2,13440,EUR
AT0000A04ER3,149,EUR
AT0000A050Z4,39314,EUR
AT0000A062U0,8,EUR
AT0000A062V8,19,EUR
AT0000A07YG7,69133,EUR
AT0000A096N3,2372,EUR
AT0000A0A1U0,2480085,EUR
AT0000A0AJ61,0,EUR
AT0000A0B5R6,128822,EUR
AT0000A0CHU9,54,EUR
AT0000A0CHW5,293,EUR
AT0000A0CHZ8,105,EUR
AT0000A0CJ28,77,EUR
AT0000A0CJ44,51,EUR
AT0000A0CJ85,173,EUR
AT0000A0CJJ8,120,EUR
AT0000A0CJM2,72,EUR
AT0000A0CJN0,191,EUR
AT0000A0CJP5,48,EUR
AT0000A0CJU5,71,EUR
AT0000A0CJW1,119,EUR
AT0000A0CJZ4,119,EUR
AT0000A0CK90,47,EUR
AT0000A0D857,76570,EUR
AT0000A0DFZ0,900140,EUR
AT0000A0DG04,1088721,EUR
AT0000A0E0R4,162356,EUR
AT0000A0F6Q2,241048,EUR
AT0000A0FBB5,10001,EUR
AT0000A0FS81,399781,EUR
AT0000A0FT07,242466,EUR
AT0000A0FTA9,377850,EUR
AT0000A0G4N3,13057,EUR
AT0000A0H9N1,165256,EUR
AT0000A0H9P6,168521,EUR
AT0000A0H9Q4,171548,EUR
AT0000A0L0V7,13219,EUR
AT0000A0LFE8,7661,EUR
AT0000A0M148,5326283,EUR
AT0000A0PDG9,312790,EUR
AT0000A0Q842,305989,EUR
AT0000A0QBM9,30551,EUR
AT0000A0RHW3,92738,EUR
AT0000A0RL68,2545,EUR
AT0000A0SNC1,4510762,EUR
AT0000A0T8M1,5276,EUR
AT0000A0T8S8,455551,EUR
AT0000A0UMM8,143918,EUR
AT0000A0UMZ0,2207,EUR
AT0000A0V453,8423,EUR
AT0000A0V7D8,198503,EUR
AT0000A0VL70,60689,EUR
AT0000A0VLS5,725893,EUR
AT0000A0VT80,291954,EUR
AT0000A0WJW9,291816,EUR
AT0000A0WM52,304973,EUR
AT0000A0WP26,18786327,EUR
AT0000A0WPF1,1013358,EUR
AT0000A0X8T0,132410,EUR
AT0000A0X913,595344,EUR
AT0000A0X9B6,45289,EUR
AT0000A0X9C4,46048,EUR
AT0000A0XGY9,2301,EUR
AT0000A0XH25,708898,EUR
AT0000A0XJ64,581408,EUR
AT0000A0XSN7,97883,EUR
AT0000A0YEG9,306503,EUR
AT0000A0YEH7,154856,EUR
AT0000A0ZCU1,91599,EUR
AT0000A0ZD92,165824,EUR
AT0000A0ZHF1,62484,EUR
AT0000A0ZKN9,0,EUR
AT0000A100A0,12904,EUR
AT0000A100E2,32446,EUR
AT0000A109Y1,139224,EUR
AT0000A109Z8,26218,EUR
AT0000A10BA2,278,EUR
AT0000A10HC5,149099,EUR
AT0000A10J59,136620,EUR
AT0000A10J83,18751,EUR
AT0000A10LJ2,1692770,EUR
AT0000A10PE4,134032,EUR
AT0000A10SM1,25373,EUR
AT0000A10TF3,23964,EUR
AT0000A10UC8,55837,EUR
AT0000A11988,2737,EUR
AT0000A11E87,13195,EUR
AT0000A11WF5,13278,EUR
AT0000A127Z0,562939,EUR
AT0000A12GN0,17098,EUR
AT0000A138S2,194998,EUR
AT0000A147M6,65739,EUR
AT0000A14F26,4,EUR
AT0000A14Q15,263999,EUR
AT0000A15245,8592,EUR
AT0000A153X1,27837,EUR
AT0000A15HF7,201777,EUR
AT0000A15M83,13894,EUR
AT0000A15PS3,142304,EUR
AT0000A15QQ5,244280,EUR
AT0000A177D2,430473,EUR
AT0000A17HL1,69528,EUR
AT0000A17HM9,68616,EUR
AT0000A17Z60,564401,EUR
AT0000A182L5,26875,EUR
AT0000A185Y1,49696,EUR
AT0000A18918,8598,EUR
AT0000A19E63,10064,EUR
AT0000A19KP2,266355,EUR
AT0000A19S18,719707,EUR
AT0000A19SB5,2586,EUR
AT0000A19Y02,126747,EUR
AT0000A19Y28,130829,EUR
AT0000A19Y36,8313,EUR
AT0000A1A3U5,52925,EUR
AT0000A1AD82,26111,EUR
AT0000A1AXT0,135365,EUR
AT0000A1BMV7,25199,EUR
AT0000A1BTF5,3927,EUR
AT0000A1C741,105374,EUR
AT0000A1CB33,512787,EUR
AT0000A1D5E1,220784,EUR
AT0000A1DBM5,285888,EUR
AT0000A1DWK5,703550,EUR
AT0000A1E283,2724,EUR
AT0000A1FGN7,27070,EUR
AT0000A1FW01,5410,EUR
AT0000A1FW27,151579,EUR
AT0000A1G841,282089,EUR
AT0000A1GD60,247009,EUR
AT0000A1GM85,121771,EUR
AT0000A1GQJ2,704530,EUR
AT0000A1H674,255355,EUR
AT0000A1HGZ7,76930,EUR
AT0000A1HQ07,27321,EUR
AT0000A1HUU9,8014,EUR
AT0000A1JVU3,478429,EUR
AT0000A1JY21,12805,EUR
AT0000A1KKF5,538731,EUR
AT0000A1LHT0,76053,EUR
AT0000A1LJH1,5211,EUR
AT0000A1NAA1,126798,EUR
AT0000A1NR16,245692,EUR
AT0000A1NX59,597703,EUR
AT0000A1PDD4,364855,EUR
AT0000A1PL28,247588,EUR
AT0000A1PLB1,7626,EUR
AT0000A1Q014,26756,EUR
AT0000A1QA53,2333590,EUR
AT0000A1REV0,3667804,EUR
AT0000A1TBC2,321417,EUR
AT0000A1U7X6,91295,EUR
AT0000A1U7Y4,91156,EUR
AT0000A1U818,89367,EUR
AT0000A1VG92,127446,EUR
AT0000A1VKJ4,8090,EUR
AT0000A1VNV3,7971,EUR
AT0000A1VP18,5302031,EUR
AT0000A1W509,1133746,EUR
AT0000A1WD52,58881,EUR
AT0000A1WK46,388480,EUR
AT0000A1WKC7,12844,EUR
AT0000A1X101,2006247,EUR
AT0000A1XA54,27462,EUR
AT0000A1XBU6,334837,EUR
AT0000A1Y3P7,928862,EUR
AT0000A1YBH1,77087,EUR
AT0000A1YHH8,254005,EUR
AT0000A1YY22,12743,EUR
AT0000A1YYY8,653728,EUR
AT0000A1YYZ5,631653,EUR
AT0000A1Z478,4187,EUR
AT0000A1ZU25,257827,EUR
AT0000A20260,64695,EUR
AT0000A205K6,126402,EUR
AT0000A20AY3,361023,EUR
AT0000A20DC3,15001,EUR
AT0000A20F93,159509,EUR
AT0000A218D4,998,EUR
AT0000A218Y0,380629,EUR
AT0000A219T8,77615,EUR
AT0000A21B70,454865,EUR
AT0000A21KS2,23731,EUR
AT0000A21PP7,1467651,EUR
AT0000A22H40,79854,EUR
AT0000A23KA6,1029,EUR
AT0000A23ST9,395667,EUR
AT0000A24PL0,102489,EUR
AT0000A24UY3,567764,EUR
AT0000APOST4,82413,EUR
AT0000BAWAG2,390316,EUR
AT0000KTMI02,150454,EUR
AT000B001185,142178,EUR
AT000B001201,89568,EUR
AT000B002530,1610379,EUR
AT000B002837,306532,EUR
AT000B002852,4517177,EUR
AT000B004221,13186,EUR
AT000B004312,3814,EUR
AT000B004981,89234,EUR
AT000B005210,214989,EUR
AT000B005418,54233,EUR
AT000B005426,120975,EUR
AT000B006002,3339,EUR
AT000B006648,127369,EUR
AT000B008214,39539,EUR
AT000B009121,281102,EUR
AT000B012042,195036,EUR
AT000B012067,209006,EUR
AT000B022306,354769,EUR
AT000B022850,13210,EUR
AT000B022934,514364,EUR
AT000B023213,24459,EUR
AT000B023221,365536,EUR
AT000B023239,375068,EUR
AT000B023338,386065,EUR
AT000B032883,49539,EUR
AT000B032974,216155,EUR
AT000B034640,296197,EUR
AT000B034699,727617,EUR
AT000B034863,203640,EUR
AT000B035027,587345,EUR
AT000B035621,265445,EUR
AT000B035886,264144,EUR
AT000B036132,311043,EUR
AT000B041850,12963,EUR
AT000B043088,5094,EUR
AT000B043484,10108,EUR
AT000B048061,147915,EUR
AT000B048384,131175,EUR
AT000B048988,2028473,EUR
AT000B049226,77616,EUR
AT000B049408,78633,EUR
AT000B049465,110903,EUR
AT000B049481,252952,EUR
AT000B049507,84155,EUR
AT000B049531,12750,EUR
AT000B049572,297335,EUR
AT000B052659,582651,EUR
AT000B052667,285074,EUR
AT000B054788,327251,EUR
AT000B055579,125987,EUR
AT000B065008,44504,EUR
AT000B065107,45331,EUR
AT000B065172,45137,EUR
AT000B066428,126068,EUR
AT000B066691,75398,EUR
AT000B074695,404546,EUR
AT000B076146,187251,EUR
AT000B078258,126977,EUR
AT000B088307,95697,EUR
AT000B091905,191896,EUR
AT000B091988,87235,EUR
AT000B092093,252219,EUR
AT000B092135,58740,EUR
AT000B092200,141735,EUR
AT000B092770,658425,EUR
AT000B092788,64531,EUR
AT000B092796,626725,EUR
AT000B093273,766754,EUR
AT000B100045,26873,EUR
AT000B100383,58205,EUR
AT000B100805,526390,EUR
AT000B100821,602322,EUR
AT000B100896,5665,EUR
AT000B100920,44464,EUR
AT000B100946,311825,EUR
AT000B100953,5788,EUR
AT000B100987,144702,EUR
AT000B101084,510419,EUR
AT000B101159,536853,EUR
AT000B101167,404089,EUR
AT000B101225,524886,EUR
AT000B110184,5840,EUR
AT000B110192,7431,EUR
AT000B112453,197886,EUR
AT000B112479,120576,EUR
AT000B112602,149631,EUR
AT000B112685,128885,EUR
AT000B112727,149478,EUR
AT000B112909,519407,EUR
AT000B115944,8116,EUR
AT000B120233,3652512,EUR
AT000B122007,50392,EUR
AT000B126727,7754,EUR
AT000B126826,1289335,EUR
AT000B126859,260834,EUR
BA100BROSRC2,309493,EUR
BE0002189554,74943,EUR
BE0002237064,174371,EUR
BE0002251206,5258,EUR
BE0002256254,110208,EUR
BE0002277466,149800,EUR
BE0002424969,846382,EUR
BE0002425974,668466,EUR
BE0002435106,12980,EUR
BE0002439140,913895,EUR
BE0002443183,182183,EUR
BE0002461367,308496,EUR
BE0002462373,25449,EUR
BE0002470459,509772,EUR
BE0002474493,68437,EUR
BE0002481563,492806,EUR
BE0002483585,568044,EUR
BE0002489640,25377,EUR
BE0002491661,20496,EUR
BE0002586643,63307,EUR
BE0002595735,25452,EUR
BE0002596741,15168,EUR
BE0002597756,14906,EUR
BE0002598762,25533,EUR
BE0002601798,41738,EUR
BE0974293251,30377,EUR
BE6221503202,56141,EUR
BE6238117475,114852,EUR
BE6243179650,474489,EUR
BE6248644013,70988,EUR
BE6254681248,64292,EUR
BE6256887967,143758,EUR
BE6265084481,32392,EUR
BE6265141083,237605,EUR
BE6265142099,55606,EUR
BE6275588760,130916,EUR
BE6276039425,101630,EUR
BE6276040431,534558,EUR
BE6282460615,147485,EUR
BE6285451454,20391,EUR
BE6285452460,10245,EUR
BE6285454482,151793,EUR
BE6285455497,389581,EUR
BE6285457519,215351,EUR
BE6286963051,26182,EUR
BE6298043272,7521,EUR
BE6299156735,7377,EUR
BE6300371273,14986,EUR
BE6301511034,345428,EUR
CA0679011084,3920,EUR
CH0012005267,27615,EUR
CH0012032048,37270,EUR
CH0026893740,11680526,EUR
CH0103748262,15444,EUR
CH0126881561,25685,EUR
CH0201443402,86741,EUR
CH0302790123,5209,EUR
CH0336602930,5709,EUR
CH0341440334,518124,EUR
CH0343366842,10645,EUR
CH0359915425,24996,EUR
CZ0002003080,234988,EUR
CZ0002003114,132165,EUR
CZ0003704280,398560,EUR
DE0001048577,478703,EUR
DE0001065472,265693,EUR
DE0001065522,124733,EUR
DE0001345759,85275,EUR
DE0002197761,240204,EUR
DE0002298890,529590,EUR
DE0002347077,239964,EUR
DE0002734415,51378,EUR
DE0002978590,363367,EUR
DE0002978608,373012,EUR
DE0003112546,527180,EUR
DE0003139556,398220,EUR
DE0003252821,508479,EUR
DE0003520524,468568,EUR
DE0005190003,41603,EUR
DE0005194062,20757,EUR
DE0005217780,15219,EUR
DE0005232805,3426,EUR
DE0005439004,4530,EUR
DE0005515787,599688,EUR
DE0005552004,59652,EUR
DE0005565204,2619,EUR
DE0005664809,65614,EUR
DE0005785802,2875,EUR
DE0005790430,4444,EUR
DE0005940621,891810,EUR
DE0006047004,3972,EUR
DE0006048432,4763,EUR
DE0006286560,63479,EUR
DE0006619778,20143,EUR
DE0007062572,1023105,EUR
DE0007100000,96105,EUR
DE0007164600,4322,EUR
DE0007236101,104105,EUR
DE0007472060,2565,EUR
DE0008051004,316072,EUR
DE0008053331,314542,EUR
DE0008053976,152539,EUR
DE0008404005,133579,EUR
DE0008405028,1965,EUR
DE0008430026,116055,EUR
DE000A0A3HE5,214304,EUR
DE000A0ABYA6,493228,EUR
DE000A0AEAF9,373433,EUR
DE000A0BCLA9,185112,EUR
DE000A0DLU69,26437,EUR
DE000A0DRPW8,625074,EUR
DE000A0DYW70,6134,EUR
DE000A0GNPZ3,8264,EUR
DE000A0KF6S5,895,EUR
DE000A0N3YJ4,267282,EUR
DE000A0T7J03,294695,EUR
DE000A0WMBH0,29660,EUR
DE000A0Z2A12,101472,EUR
DE000A11QAU6,276884,EUR
DE000A11QHX5,42442,EUR
DE000A11QR73,99904,EUR
DE000A11QSB8,79525,EUR
