MarketValue,Currency,ISIN
1456180,CHF,AEA000201011
195539,CHF,AEA001501013
549976,CHF,AEA002001013
1096993,CHF,AEA003001012
335354,CHF,AEA005901011
1324165,CHF,AED000201015
655233,CHF,AED000601016
647367,CHF,AED000701014
399510,CHF,AED000901010
49358,CHF,AED001001018
17825,CHF,AED001101016
55358,CHF,AED001501017
578530,CHF,AEDFXA0M6V00
902268,CHF,AEE000301011
6252926,CHF,AEE000401019
33984,CHF,AEE000901018
360581,CHF,AEE001501015
6905497,CHF,AEN000101016
35373,CHF,AEN000501017
39709,CHF,AER000601016
80068,CHF,AES000101015
45312,CHF,AEU000101011
3076571,CHF,AN8068571086
48436,CHF,AT00000FACC2
618387,CHF,AT0000606306
60301,CHF,AT0000609607
470045,CHF,AT0000641352
212763,CHF,AT0000644505
1150323,CHF,AT0000652011
284111,CHF,AT0000652250
229355,CHF,AT0000720008
648761,CHF,AT0000730007
75783,CHF,AT0000741053
1329590,CHF,AT0000743059
358947,CHF,AT0000746409
12581,CHF,AT0000785555
119608,CHF,AT0000818802
183919,CHF,AT0000821103
835373,CHF,AT0000831706
134519,CHF,AT0000837307
155329,CHF,AT0000908504
609620,CHF,AT0000937503
166594,CHF,AT0000946652
61685,CHF,AT0000969985
318164,CHF,AT0000A0E9W5
1808839,CHF,AT0000A12GN0
2671695,CHF,AT0000A18XM4
505960,CHF,AT0000A21KS2
202303,CHF,AT0000APOST4
531427,CHF,AT0000BAWAG2
18780,CHF,AT000KAPSCH9
138125,CHF,AU0000005159
893146,CHF,AU0000009789
143060,CHF,AU000000AAC9
525385,CHF,AU000000ABC7
565932,CHF,AU000000ABP9
5340932,CHF,AU000000AGL7
263577,CHF,AU000000AHG5
4291602,CHF,AU000000ALL7
1628467,CHF,AU000000ALQ6
1538689,CHF,AU000000ALU8
169156,CHF,AU000000AMA8
3135327,CHF,AU000000AMP6
1424534,CHF,AU000000ANN9
24752197,CHF,AU000000ANZ3
3176733,CHF,AU000000APA1
575733,CHF,AU000000APE3
197687,CHF,AU000000API4
1818479,CHF,AU000000APT1
884474,CHF,AU000000APX3
464001,CHF,AU000000ARB5
365984,CHF,AU000000ASB3
1022358,CHF,AU000000AST5
4960135,CHF,AU000000ASX7
310254,CHF,AU000000AVH4
323565,CHF,AU000000AVN2
1620664,CHF,AU000000AWC3
220903,CHF,AU000000AX19
3459433,CHF,AU000000AZJ1
672263,CHF,AU000000BAP9
3745915,CHF,AU000000BEN6
331594,CHF,AU000000BGA8
23724477,CHF,AU000000BHP4
526439,CHF,AU000000BIN7
414628,CHF,AU000000BKL7
525735,CHF,AU000000BKW4
955025,CHF,AU000000BLD2
2396068,CHF,AU000000BOQ8
1640950,CHF,AU000000BPT9
609026,CHF,AU000000BRG2
4272236,CHF,AU000000BSL0
499738,CHF,AU000000BVS9
756165,CHF,AU000000BWP3
191546,CHF,AU000000BWX7
4930638,CHF,AU000000BXB1
1423550,CHF,AU000000CAR3
28235234,CHF,AU000000CBA7
2047384,CHF,AU000000CCL2
582425,CHF,AU000000CCP3
251196,CHF,AU000000CGC2
1681194,CHF,AU000000CGF5
1937358,CHF,AU000000CHC0
611063,CHF,AU000000CIM7
237872,CHF,AU000000CIP0
350190,CHF,AU000000CKF7
593267,CHF,AU000000CLW0
262533,CHF,AU000000CMA4
845030,CHF,AU000000CMW8
368739,CHF,AU000000COE2
2959130,CHF,AU000000COH5
1595472,CHF,AU000000CPU5
599314,CHF,AU000000CQR9
25553187,CHF,AU000000CSL8
823918,CHF,AU000000CSR5
601113,CHF,AU000000CTD3
1449771,CHF,AU000000CTX1
