investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,bics_sector,valid_input,direct_holding,financial_sector,sectors_with_assets,has_assets_in_fin_sector,flag
UNPRI,European Portfolio,1,AEA000201011,1504601.73029496,Abu Dhabi Commercial Bank Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,2,AEA001501013,202041.17467630803,Arabtec Holding Pjsc,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,3,AEA002001013,568264.116538272,Aldar Properties Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,4,AEA003001012,1133470.8387159961,Air Arabia Pjsc,Equity,Consumer Discretionary,TRUE,TRUE,Aviation,Aviation,TRUE,Included in analysis
UNPRI,European Portfolio,5,AEA005901011,346505.38303048804,Amanat Holdings Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,6,AED000201015,1368196.8920023802,Dubai Islamic Bank Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,7,AED000601016,677021.1825092761,Dubai Investments Pjsc,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,8,AED000701014,668893.617777924,Dana Gas Pjsc,Equity,Energy,TRUE,TRUE,Oil&Gas,Oil&Gas,TRUE,Included in analysis
UNPRI,European Portfolio,9,AED000901010,412794.73503972,Dubai Financial Market Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,10,AED001001018,50999.28044877601,Deyaar Development Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,11,AED001101016,18417.7270959,Drake & Scull International Pj,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,12,AED001501017,57198.79588077601,Dxb Entertainments Pjsc,Equity,Consumer Discretionary,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,13,AEDFXA0M6V00,597767.6104791601,Dp World Plc,Equity,Industrials,TRUE,TRUE,Other,Shipping,FALSE,Included in analysis
UNPRI,European Portfolio,14,AEE000301011,932270.7316332961,Emaar Properties Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,15,AEE000401019,6460851.872025672,Emirates Telecommunications Group Co Pjsc,Equity,Unclassifiable,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,16,AEE000901018,35114.055406848005,Eshraq Properties Co Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,17,AEE001501015,372571.24566433206,Emaar Malls Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,18,AEN000101016,7135122.536188285,First Abu Dhabi Bank Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,19,AEN000501017,36549.243229356005,National Central Cooling Co Pjsc,Equity,Industrials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,20,AER000601016,41029.426381548,Rak Properties Pjsc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
UNPRI,European Portfolio,21,AES000101015,82730.466934896,Shuaa Capital Psc,Equity,Financials,TRUE,TRUE,Other,NA,FALSE,Included in analysis
