ISIN,MarketValue,Currency
AEA000201011,1456180,CHF
AEA001501013,195539,CHF
AEA002001013,549976,CHF
AEA003001012,1096993,CHF
AEA005901011,335354,CHF
AED000201015,1324165,CHF
AED000601016,655233,CHF
AED000701014,647367,CHF
AED000901010,399510,CHF
AED001001018,49358,CHF
AED001101016,17825,CHF
AED001501017,55358,CHF
AEDFXA0M6V00,578530,CHF
AEE000301011,902268,CHF
AEE000401019,6252926,CHF
AEE000901018,33984,CHF
AEE001501015,360581,CHF
AEN000101016,6905497,CHF
AEN000501017,35373,CHF
AER000601016,39709,CHF
AES000101015,80068,CHF
AEU000101011,45312,CHF
AN8068571086,3076571,CHF
AT00000FACC2,48436,CHF
AT0000606306,618387,CHF
AT0000609607,60301,CHF
AT0000641352,470045,CHF
AT0000644505,212763,CHF
AT0000652011,1150323,CHF
AT0000652250,284111,CHF
AT0000720008,229355,CHF
AT0000730007,648761,CHF
AT0000741053,75783,CHF
AT0000743059,1329590,CHF
AT0000746409,358947,CHF
AT0000785555,12581,CHF
AT0000818802,119608,CHF
AT0000821103,183919,CHF
AT0000831706,835373,CHF
AT0000837307,134519,CHF
AT0000908504,155329,CHF
AT0000937503,609620,CHF
AT0000946652,166594,CHF
AT0000969985,61685,CHF
AT0000A0E9W5,318164,CHF
AT0000A12GN0,1808839,CHF
AT0000A18XM4,2671695,CHF
AT0000A21KS2,505960,CHF
AT0000APOST4,202303,CHF
AT0000BAWAG2,531427,CHF
AT000KAPSCH9,18780,CHF
AU0000005159,138125,CHF
AU0000009789,893146,CHF
AU000000AAC9,143060,CHF
AU000000ABC7,525385,CHF
AU000000ABP9,565932,CHF
AU000000AGL7,5340932,CHF
AU000000AHG5,263577,CHF
AU000000ALL7,4291602,CHF
AU000000ALQ6,1628467,CHF
AU000000ALU8,1538689,CHF
AU000000AMA8,169156,CHF
AU000000AMP6,3135327,CHF
AU000000ANN9,1424534,CHF
AU000000ANZ3,24752197,CHF
AU000000APA1,3176733,CHF
AU000000APE3,575733,CHF
AU000000API4,197687,CHF
AU000000APT1,1818479,CHF
AU000000APX3,884474,CHF
AU000000ARB5,464001,CHF
AU000000ASB3,365984,CHF
AU000000AST5,1022358,CHF
AU000000ASX7,4960135,CHF
AU000000AVH4,310254,CHF
AU000000AVN2,323565,CHF
AU000000AWC3,1620664,CHF
AU000000AX19,220903,CHF
AU000000AZJ1,3459433,CHF
AU000000BAP9,672263,CHF
AU000000BEN6,3745915,CHF
AU000000BGA8,331594,CHF
AU000000BHP4,23724477,CHF
AU000000BIN7,526439,CHF
AU000000BKL7,414628,CHF
AU000000BKW4,525735,CHF
AU000000BLD2,955025,CHF
AU000000BOQ8,2396068,CHF
AU000000BPT9,1640950,CHF
AU000000BRG2,609026,CHF
AU000000BSL0,4272236,CHF
AU000000BVS9,499738,CHF
AU000000BWP3,756165,CHF
AU000000BWX7,191546,CHF
AU000000BXB1,4930638,CHF
AU000000CAR3,1423550,CHF
AU000000CBA7,28235234,CHF
AU000000CCL2,2047384,CHF
AU000000CCP3,582425,CHF
AU000000CGC2,251196,CHF
AU000000CGF5,1681194,CHF
AU000000CHC0,1937358,CHF
AU000000CIM7,611063,CHF
AU000000CIP0,237872,CHF
AU000000CKF7,350190,CHF
AU000000CLW0,593267,CHF
AU000000CMA4,262533,CHF
AU000000CMW8,845030,CHF
AU000000COE2,368739,CHF
AU000000COH5,2959130,CHF
AU000000CPU5,1595472,CHF
AU000000CQR9,599314,CHF
AU000000CSL8,25553187,CHF
AU000000CSR5,823918,CHF
AU000000CTD3,601113,CHF
AU000000CTX1,1449771,CHF
AU000000CUV3,375816,CHF
AU000000CWN6,2481606,CHF
AU000000CWP1,206559,CHF
AU000000CWY3,1471076,CHF
AU000000DDR5,119755,CHF
AU000000DHG9,319481,CHF
AU000000DMP0,1145091,CHF
AU000000DOW2,1823544,CHF
AU000000DXS1,4626361,CHF
AU000000EHE2,174693,CHF
AU000000EHL7,193259,CHF
AU000000ELD6,268309,CHF
AU000000EML7,332346,CHF
AU000000EVN4,2155728,CHF
AU000000FLT9,683061,CHF
AU000000FMG4,10135825,CHF
AU000000FNP3,249176,CHF
AU000000FXL1,200611,CHF
AU000000GDI7,295096,CHF
AU000000GEM7,293337,CHF
AU000000GMA5,324670,CHF
AU000000GMG2,8534508,CHF
AU000000GNC9,623495,CHF
AU000000GOR5,317419,CHF
AU000000GOZ8,400431,CHF
AU000000GPT8,4206246,CHF
AU000000GUD2,361016,CHF
AU000000GWA4,245031,CHF
AU000000GXY2,128967,CHF
AU000000HSN3,222554,CHF
AU000000HT18,161015,CHF
