Investor.Name,Portfolio.Name,ISIN,NumberofShares,MarketValue,Currency
Test,GV,LU1808485178,,91796.37,CHF
Test,GV,RU000A0JWHA4,,107274.81,CHF
Test,GV,RU000A0JXTS9,,74061.45,CHF
Test,GV,RU000A0JXU14,,244372.74,CHF
Test,GV,RU000A0ZYYN4,,67274.11,CHF
Test,GV,RU000A1006S9,,115593.45,CHF
Test,GV,US040114GK09,,70671.98,CHF
Test,GV,US040114GL81,,70502.89,CHF
Test,GV,US040114GW47,,62584.97,CHF
Test,GV,US040114GX20,,87056.24,CHF
Test,GV,US040114GY03,,36524.07,CHF
Test,GV,US040114HF05,,13078.05,CHF
Test,GV,US040114HG87,,25148.31,CHF
Test,GV,US040114HK99,,45737.65,CHF
Test,GV,US040114HL72,,50817.99,CHF
Test,GV,US040114HN39,,37417.85,CHF
Test,GV,US040114HP86,,23341.76,CHF
Test,GV,US040114HQ69,,54217.49,CHF
Test,GV,US040114HR43,,41966.32,CHF
Test,GV,US05968AAA43,,21440.96,CHF
Test,GV,US05968AAD81,,40600.1,CHF
Test,GV,US105756AE07,,30648.7,CHF
Test,GV,US105756AR10,,39151.79,CHF
Test,GV,US105756BB58,,77832.99,CHF
Test,GV,US105756BF62,,27781,CHF
Test,GV,US105756BK57,,86483.45,CHF
Test,GV,US105756BR01,,90309.72,CHF
Test,GV,US105756BS83,,75512.35,CHF
Test,GV,US105756BU30,,64677.69,CHF
Test,GV,US105756BV13,,141698.05,CHF
Test,GV,US105756BW95,,117785.97,CHF
Test,GV,US105756BX78,,77643.26,CHF
Test,GV,US105756BY51,,106661.54,CHF
Test,GV,US105756BZ27,,103930.1,CHF
Test,GV,US105756CA66,,51007.31,CHF
Test,GV,US105756CB40,,66396.15,CHF
Test,GV,US12803X2B68,,16064.03,CHF
Test,GV,US168863CA49,,35540.24,CHF
Test,GV,US168863CE60,,67603.71,CHF
Test,GV,US168863CF36,,100826.52,CHF
Test,GV,US168863DL94,,65760,CHF
Test,GV,US195325BD67,,50776.61,CHF
Test,GV,US195325BK01,,106553.72,CHF
Test,GV,US195325BM66,,132059.15,CHF
Test,GV,US195325BN40,,65460.88,CHF
Test,GV,US195325BQ70,,88435.09,CHF
Test,GV,US195325BR53,,125599.89,CHF
Test,GV,US195325CU73,,211125.63,CHF
Test,GV,US195325CX13,,66315.48,CHF
Test,GV,US195325DL65,,105276.23,CHF
Test,GV,US195325DP79,,90143.12,CHF
Test,GV,US195325DQ52,,70343.89,CHF
Test,GV,US30216KAA07,,68069.33,CHF
Test,GV,US30216KAC62,,70044.96,CHF
Test,GV,US445545AE60,,181475.08,CHF
Test,GV,US445545AF36,,126058.07,CHF
Test,GV,US445545AH91,,124126.12,CHF
Test,GV,US445545AJ57,,138094.81,CHF
Test,GV,US445545AL04,,138473.51,CHF
Test,GV,US455780CC89,,20934.97,CHF
Test,GV,US455780CD62,,29416.86,CHF
Test,GV,US455780CE46,,36493.85,CHF
Test,GV,US455780CF11,,22662.99,CHF
Test,GV,US455780CG93,,16782.03,CHF
Test,GV,US455780CH76,,30380.12,CHF
Test,GV,US455780CJ33,,25835.54,CHF
Test,GV,US455780CK06,,10589.23,CHF
Test,GV,US455780CN45,,16905.15,CHF
Test,GV,US470160AV46,,110392.92,CHF
Test,GV,US470160CA80,,95656.15,CHF
Test,GV,US470160CB63,,152609.03,CHF
Test,GV,US60937GAB23,,66079.88,CHF
Test,GV,US60937GAD88,,34247.23,CHF
Test,GV,US67778NAA63,,70442.57,CHF
Test,GV,US69370RAA59,,32985.92,CHF
Test,GV,US69370RAC16,,15829.99,CHF
Test,GV,US69370RAD98,,12731.89,CHF
Test,GV,US69370RAE71,,14307.95,CHF
Test,GV,US698299AD63,,73011.91,CHF
Test,GV,US698299AK07,,95721.03,CHF
Test,GV,US698299AV61,,61091.19,CHF
Test,GV,US698299AW45,,173156.72,CHF
Test,GV,US698299BB98,,79573.95,CHF
Test,GV,US698299BD54,,77606.26,CHF
Test,GV,US698299BE38,,74945.22,CHF
Test,GV,US698299BF03,,93356,CHF
Test,GV,US698299BG85,,82155.29,CHF
Test,GV,US698299BH68,,119929.16,CHF
Test,GV,US698299BK97,,58670.62,CHF
Test,GV,US698299BL70,,41481.53,CHF
Test,GV,US706451BG56,,40483.05,CHF
Test,GV,US715638AP79,,234543.97,CHF
Test,GV,US715638AS19,,152363.48,CHF
Test,GV,US715638AU64,,109508.22,CHF
Test,GV,US715638BM30,,220948.96,CHF
Test,GV,US715638BU55,,85691.56,CHF
Test,GV,US715638DA73,,28002.18,CHF
Test,GV,US71567RAA41,,12308.73,CHF
Test,GV,US71567RAC07,,32196.93,CHF
Test,GV,US71567RAD89,,41094.46,CHF
Test,GV,US71567RAE62,,4073.09,CHF
Test,GV,US71567RAF38,,33955.66,CHF
Test,GV,US71567RAG11,,27940.05,CHF
Test,GV,US71567RAH93,,44596.96,CHF
Test,GV,US71567RAJ59,,21999.58,CHF
Test,GV,US71567RAK23,,36671.22,CHF
Test,GV,US71567RAL06,,9018.02,CHF
Test,GV,US71567RAM88,,13399.97,CHF
Test,GV,US71568QAA58,,27641.74,CHF
Test,GV,US71568QAB32,,21378.62,CHF
Test,GV,US71568QAC15,,29936.09,CHF
Test,GV,US71568QAD97,,5624.71,CHF
Test,GV,US71568QAE70,,22142.39,CHF
Test,GV,US71568QAF46,,20004.79,CHF
Test,GV,US71568QAG29,,12215.27,CHF
Test,GV,US71568QAH02,,14201.54,CHF
Test,GV,US71568QAJ67,,12677.62,CHF
Test,GV,US71568QAK31,,9226.18,CHF
Test,GV,US71568QAL14,,5810.24,CHF
Test,GV,US71568QAM96,,12203.89,CHF
Test,GV,US71654QAX07,,15513.99,CHF
Test,GV,US71654QAZ54,,14709.4,CHF
Test,GV,US71654QBB77,,23605.28,CHF
Test,GV,US71654QBE17,,10634.5,CHF
Test,GV,US71654QBG64,,30966.49,CHF
Test,GV,US71654QBH48,,17140.97,CHF
Test,GV,US71654QBR20,,49768.48,CHF
Test,GV,US71654QBW15,,16363.7,CHF
Test,GV,US71654QBX97,,26141.56,CHF
Test,GV,US71654QCB68,,52737.9,CHF
Test,GV,US71654QCC42,,107913.39,CHF
Test,GV,US71654QCD25,,31835.32,CHF
Test,GV,US71654QCE08,,18871.54,CHF
Test,GV,US71654QCF72,,20412.34,CHF
Test,GV,US71654QCG55,,96656.38,CHF
Test,GV,US71654QCK67,,36059.44,CHF
Test,GV,US71654QCL41,,61509.94,CHF
Test,GV,US71654QCP54,,31404.94,CHF
Test,GV,US71656MAF68,,15106.88,CHF
Test,GV,US718286AP29,,86411.61,CHF
Test,GV,US718286AY36,,136276.29,CHF
Test,GV,US718286BB24,,100441.47,CHF
Test,GV,US718286BC07,,29366.12,CHF
Test,GV,US718286BD89,,55215.91,CHF
Test,GV,US718286BG11,,104675.66,CHF
Test,GV,US718286BK23,,77175.07,CHF
Test,GV,US718286BN61,,48316.42,CHF
Test,GV,US718286BW60,,69657.47,CHF
Test,GV,US718286BY27,,70049,CHF
Test,GV,US718286BZ91,,95033.44,CHF
Test,GV,US718286CA32,,97354.13,CHF
Test,GV,US718286CB15,,91482.17,CHF
Test,GV,US718286CC97,,80245.39,CHF
Test,GV,US718286CG02,,67091.61,CHF
Test,GV,US731011AT95,,126769.91,CHF
Test,GV,US731011AU68,,109590.06,CHF
Test,GV,US760942AS16,,103152.92,CHF
Test,GV,US760942AY83,,49715.11,CHF
Test,GV,US760942AZ58,,62205.5,CHF
Test,GV,US760942BA98,,287733.85,CHF
Test,GV,US760942BB71,,120580.76,CHF
Test,GV,US760942BD38,,180078.22,CHF
Test,GV,US77586TAA43,,137070.15,CHF
Test,GV,US77586TAC09,,97924.79,CHF
Test,GV,US77586TAD81,,60608.33,CHF
Test,GV,US77586TAE64,,81153.18,CHF
Test,GV,US836205AL88,,26399.19,CHF
Test,GV,US836205AP92,,38775.32,CHF
Test,GV,US836205AQ75,,60634.92,CHF
Test,GV,US836205AR58,,93599.63,CHF
Test,GV,US836205AS32,,46799.56,CHF
Test,GV,US836205AT15,,56172.46,CHF
Test,GV,US836205AU87,,91964.73,CHF
Test,GV,US836205AV60,,40749.95,CHF
Test,GV,US836205AW44,,44004,CHF
Test,GV,US836205AX27,,61780.45,CHF
Test,GV,US836205AY00,,67893.22,CHF
Test,GV,US836205AZ74,,26145.54,CHF
Test,GV,US836205BA15,,37120.53,CHF
Test,GV,US836205BB97,,97858.5,CHF
Test,GV,US857524AA08,,127245.33,CHF
Test,GV,US857524AB80,,198483.02,CHF
Test,GV,US857524AC63,,130066.03,CHF
Test,GV,US900123AL40,,49718.92,CHF
Test,GV,US900123AT75,,44706.32,CHF
Test,GV,US900123AW05,,87260.92,CHF
Test,GV,US900123AY60,,67611.35,CHF
Test,GV,US900123BB58,,24842.94,CHF
Test,GV,US900123BG46,,42986.96,CHF
Test,GV,US900123BH29,,42623.82,CHF
Test,GV,US900123BJ84,,58506.74,CHF
Test,GV,US900123BY51,,31210.58,CHF
Test,GV,US900123BZ27,,61965.22,CHF
Test,GV,US900123CA66,,31708.87,CHF
Test,GV,US900123CB40,,50081.69,CHF
Test,GV,US900123CF53,,54488.11,CHF
Test,GV,US900123CG37,,59284.6,CHF
Test,GV,US900123CJ75,,31370.28,CHF
Test,GV,US900123CK49,,68411.86,CHF
Test,GV,US900123CL22,,76794.69,CHF
Test,GV,US900123CM05,,64021.75,CHF
Test,GV,US900123CP36,,41072.47,CHF
Test,GV,US900123CQ19,,45934.02,CHF
Test,GV,US900123CR91,,55412.92,CHF
Test,GV,US900123CT57,,70348.95,CHF
Test,GV,US900123CV04,,27863.43,CHF
Test,GV,US900123CW86,,43545.5,CHF
Test,GV,US91086QAG38,,29029.32,CHF
Test,GV,US91086QAJ76,,9473.59,CHF
Test,GV,US91086QAN88,,21137.15,CHF
