investor_name,portfolio_name,holding_id,isin,value_usd,company_name,asset_type,valid_input,direct_holding,security_mapped_sector,financial_sector,sectors_with_assets,has_ald_in_fin_sector,flag
Test,pow_eq_cb_0,BR647179,US144577AJ24,43950,Carrizo Oil & Gas Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,NA,FALSE,Included in analysis
Test,pow_eq_cb_0,BR422521,US81783QAC96,323200,Seven Generations Energy,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Power,FALSE,Included in analysis
Test,pow_eq_cb_0,BR400339,CA29250ZAS70,1673121,Enbridge Pipelines Inc,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,pow_eq_cb_0,BR463072,US02665WBH34,709898,American Honda Finance Corp,Bonds,TRUE,TRUE,Automotive,Automotive,Automotive + Power,TRUE,Included in analysis
Test,pow_eq_cb_0,BR49301,US96950FAG90,2076780,Williams Companies Inc,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,pow_eq_cb_0,BR122479,US012873AK13,24327163,Ovintiv Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,NA,FALSE,Included in analysis
Test,pow_eq_cb_0,BR51186,US87305QCC33,13566150,NA,Bonds,TRUE,TRUE,Other,Other,NA,FALSE,Included in analysis
Test,pow_eq_cb_0,BR445968,US806851AE12,3088320,NA,Bonds,TRUE,TRUE,Other,Other,Oil&Gas + Power,FALSE,Included in analysis
Test,pow_eq_cb_0,BR529500,US74733VAC46,409803,Qep Resources Inc,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas,TRUE,Included in analysis
Test,pow_eq_cb_0,BR462988,US565849AK29,4277923,Marathon Oil Corp,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Aviation + Oil&Gas + Power,TRUE,Included in analysis
Test,pow_eq_cb_0,BR92126,US85771PAQ54,21082842,Equinor Asa,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power + Shipping,TRUE,Included in analysis
Test,pow_eq_cb_0,BR6520,US701885AD73,2525000,Parsley Energy Llc/Finan,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,NA,FALSE,Included in analysis
Test,pow_eq_cb_0,BR418341,US71654QBU58,101350,Petroleos Mexicanos,Bonds,TRUE,TRUE,Oil&Gas,Oil&Gas,Oil&Gas + Power,TRUE,Included in analysis
